tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,128,128,7,26.73039896969552,26.943774904056536,64,64
1,0,64,64,128,128,128,7,22.69983767774402,25.188209495648284,64,64
2,0,128,64,192,128,128,7,30.512718530720523,34.056207650015,64,64
3,0,192,64,256,128,128,7,24.6877927794073,23.51195011904673,64,64
4,64,0,128,64,128,128,7,25.252282910379815,23.107029558036434,64,64
5,64,64,128,128,128,128,7,22.891492537910732,22.616085840024894,64,64
6,64,128,128,192,128,128,7,20.66338141152539,21.368653053045485,64,64
7,64,192,128,256,128,128,7,23.977900187362668,24.30729697403752,64,64
8,128,0,192,64,128,128,7,23.989543678372492,24.567263878676137,64,64
9,128,64,192,128,128,128,7,21.43102096916438,19.373705441181677,64,64
10,128,128,192,192,128,128,7,25.15945889328879,25.891809998617532,64,64
11,128,192,192,256,128,128,7,27.6116741757661,28.0342992849301,64,64
12,192,0,256,64,128,128,7,26.567869378073176,27.05835698863051,64,64
13,192,64,256,128,128,128,7,27.65748964029126,28.403616777344226,64,64
14,192,128,256,192,128,128,7,27.935133877957558,28.10216551002185,64,64
15,192,192,256,256,128,128,7,27.872749995258186,28.57662616769207,64,64
