tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,128,128,7,18.187063486311573,19.22101933728446,64,64
1,0,64,64,128,128,128,7,15.857225411830957,16.952615138333837,64,64
2,0,128,64,192,128,128,7,16.091096219235993,16.393150272056488,64,64
3,0,192,64,256,128,128,7,22.223556464019016,21.865471897913263,64,64
4,64,0,128,64,128,128,7,17.27505529123759,18.074409184546838,64,64
5,64,64,128,128,128,128,7,15.904236788227164,16.34342549408479,64,64
6,64,128,128,192,128,128,7,16.087914782738697,16.289484034364257,64,64
7,64,192,128,256,128,128,7,18.12742583318068,19.49912959411416,64,64
8,128,0,192,64,128,128,7,20.523845579711548,21.91525716097732,64,64
9,128,64,192,128,128,128,7,19.02205062332461,19.757554607667856,64,64
10,128,128,192,192,128,128,7,18.91718557418155,19.207697346174324,64,64
11,128,192,192,256,128,128,7,20.125414993653514,20.160081696502445,64,64
12,192,0,256,64,128,128,7,21.973673743415006,21.7414553110518,64,64
13,192,64,256,128,128,128,7,19.95559218802678,20.73344013047206,64,64
14,192,128,256,192,128,128,7,19.755825808887344,20.586916199583428,64,64
15,192,192,256,256,128,128,7,20.90650128799318,20.731198604716496,64,64
