tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,128,128,7,28.124217424860714,29.09396356238284,64,64
1,0,64,64,128,128,128,7,24.75534963816129,25.7109027573533,64,64
2,0,128,64,192,128,128,7,23.43983191174096,23.883884236908823,64,64
3,0,192,64,256,128,128,7,25.499433397116597,27.76371066446394,64,64
4,64,0,128,64,128,128,7,19.94920730049386,21.232606860105566,64,64
5,64,64,128,128,128,128,7,19.540026794622676,20.390699523657293,64,64
6,64,128,128,192,128,128,7,19.68465265333107,20.122772071728082,64,64
7,64,192,128,256,128,128,7,25.692986614019638,28.422325102453524,64,64
8,128,0,192,64,128,128,7,27.16094789484189,27.632633276267384,64,64
9,128,64,192,128,128,128,7,23.0533880241112,21.301290984794953,64,64
10,128,128,192,192,128,128,7,20.71259828674439,20.002687305965324,64,64
11,128,192,192,256,128,128,7,22.807781652648778,23.694654837665666,64,64
12,192,0,256,64,128,128,7,30.563456794108966,31.73068280693237,64,64
13,192,64,256,128,128,128,7,29.894001098416286,30.065015866571905,64,64
14,192,128,256,192,128,128,7,27.539715410148208,27.845025089476152,64,64
15,192,192,256,256,128,128,7,27.256871712990737,28.39050764657928,64,64
