tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,8,8,7,17.338081573619306,17.43431994257185,64,64
1,0,64,64,128,8,8,7,17.806227677003317,17.722686328585866,64,64
2,0,128,64,192,8,8,7,16.697817717272688,17.25892564287067,64,64
3,0,192,64,256,8,8,7,16.91471622236184,17.326906589173873,64,64
4,64,0,128,64,8,8,7,20.447812069763003,20.162793543441285,64,64
5,64,64,128,128,8,8,7,19.60158612187419,19.422185842360427,64,64
6,64,128,128,192,8,8,7,19.2190703714737,19.310519131356642,64,64
7,64,192,128,256,8,8,7,19.93297702163723,19.52313692785767,64,64
8,128,0,192,64,8,8,7,17.88862738598497,18.775054587696374,64,64
9,128,64,192,128,8,8,7,17.04310667284592,18.129613806298476,64,64
10,128,128,192,192,8,8,7,16.36768663909282,15.88248244928862,64,64
11,128,192,192,256,8,8,7,16.68213394977651,16.7886896197814,64,64
12,192,0,256,64,8,8,7,19.398163298277826,20.471782141575858,64,64
13,192,64,256,128,8,8,7,17.928070124339715,18.013460098437744,64,64
14,192,128,256,192,8,8,7,19.323819298067534,21.039899728562087,64,64
15,192,192,256,256,8,8,7,20.25209884447234,20.807147716499678,64,64
