tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,8,8,7,22.121933029758768,21.906540354926022,64,64
1,0,64,64,128,8,8,7,19.895571079547047,20.92576481871587,64,64
2,0,128,64,192,8,8,7,19.106122259705508,19.683122685150092,64,64
3,0,192,64,256,8,8,7,21.009608165635406,21.463980722430435,64,64
4,64,0,128,64,8,8,7,14.49611928531895,14.411917871580705,64,64
5,64,64,128,128,8,8,7,15.713683969185698,15.786882765731027,64,64
6,64,128,128,192,8,8,7,17.25922821833396,17.735474089237513,64,64
7,64,192,128,256,8,8,7,18.24833216084774,18.41555421294072,64,64
8,128,0,192,64,8,8,7,24.754380230990606,25.07789398849726,64,64
9,128,64,192,128,8,8,7,18.134254717634594,19.495330639477082,64,64
10,128,128,192,192,8,8,7,15.396861939594908,16.182143129444476,64,64
11,128,192,192,256,8,8,7,17.68604196990953,18.77679382639431,64,64
12,192,0,256,64,8,8,7,27.879628142198975,27.764942025612406,64,64
13,192,64,256,128,8,8,7,26.40022201677192,26.52874113509168,64,64
14,192,128,256,192,8,8,7,21.46945436243323,23.670346279195662,64,64
15,192,192,256,256,8,8,7,24.377714476284208,25.072515835045508,64,64
