tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,8,8,7,24.905365930685043,24.204498158404924,64,64
1,0,64,64,128,8,8,7,22.487473235110365,22.18527628458398,64,64
2,0,128,64,192,8,8,7,20.355113821308322,21.00328812113487,64,64
3,0,192,64,256,8,8,7,24.920242231094292,24.979154787244347,64,64
4,64,0,128,64,8,8,7,22.908133067086304,23.788247562062956,64,64
5,64,64,128,128,8,8,7,13.447288193600919,16.80494114874769,64,64
6,64,128,128,192,8,8,7,21.241240372109274,21.570753805839725,64,64
7,64,192,128,256,8,8,7,25.1100519496836,24.833146003939323,64,64
8,128,0,192,64,8,8,7,25.789524446028974,25.517405757486916,64,64
9,128,64,192,128,8,8,7,21.464939790348573,21.765175186862123,64,64
10,128,128,192,192,8,8,7,28.40180852397529,28.240363957150485,64,64
11,128,192,192,256,8,8,7,23.53589568812362,23.878202003868616,64,64
12,192,0,256,64,8,8,7,24.70932239032159,24.452334371787483,64,64
13,192,64,256,128,8,8,7,23.92808646929874,23.575887011916628,64,64
14,192,128,256,192,8,8,7,28.897168827984206,28.587908380808997,64,64
15,192,192,256,256,8,8,7,23.9695035750128,24.155125725280392,64,64
