tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,8,8,7,19.33442573891635,20.920686014941133,64,64
1,0,64,64,128,8,8,7,16.608265730732175,17.042133744395745,64,64
2,0,128,64,192,8,8,7,19.51692145282825,19.5174789196007,64,64
3,0,192,64,256,8,8,7,19.816281259426336,19.793508581501346,64,64
4,64,0,128,64,8,8,7,16.428931956772264,16.611831803338053,64,64
5,64,64,128,128,8,8,7,14.967345071817507,15.204534426089925,64,64
6,64,128,128,192,8,8,7,18.947168213690194,19.04005624781139,64,64
7,64,192,128,256,8,8,7,21.067938574539227,21.910600131348996,64,64
8,128,0,192,64,8,8,7,17.363625972281017,17.649754969268542,64,64
9,128,64,192,128,8,8,7,14.497598649821784,14.499224410810562,64,64
10,128,128,192,192,8,8,7,13.79294355273087,13.79846181763741,64,64
11,128,192,192,256,8,8,7,18.065489976291012,18.794768046361042,64,64
12,192,0,256,64,8,8,7,24.73804474238563,24.473987904930212,64,64
13,192,64,256,128,8,8,7,21.392970382536234,21.770886370027732,64,64
14,192,128,256,192,8,8,7,18.84185231514589,19.212892726481897,64,64
15,192,192,256,256,8,8,7,20.355028082481912,20.734971784169094,64,64
