tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,8,8,7,17.402972645669887,18.31274770810402,64,64
1,0,64,64,128,8,8,7,18.956426317249097,20.000173965733733,64,64
2,0,128,64,192,8,8,7,17.870007019163356,18.50798446481866,64,64
3,0,192,64,256,8,8,7,16.38338156201703,17.887507406416784,64,64
4,64,0,128,64,8,8,7,24.872239105689697,25.38492615802905,64,64
5,64,64,128,128,8,8,7,21.76324246570983,23.29383069501031,64,64
6,64,128,128,192,8,8,7,21.053376834499065,22.123662472035406,64,64
7,64,192,128,256,8,8,7,22.971570900853933,24.445403623379196,64,64
8,128,0,192,64,8,8,7,18.9565876900388,19.027799506497043,64,64
9,128,64,192,128,8,8,7,20.23913735528016,21.065556591073815,64,64
10,128,128,192,192,8,8,7,17.84071309314531,17.941260388658232,64,64
11,128,192,192,256,8,8,7,16.711478481012062,17.998825086129607,64,64
12,192,0,256,64,8,8,7,22.215079843639195,22.225413152685135,64,64
13,192,64,256,128,8,8,7,22.258465572997927,22.902873094851365,64,64
14,192,128,256,192,8,8,7,17.153347166656253,17.240861050423636,64,64
15,192,192,256,256,8,8,7,23.859741367787116,25.174311151749702,64,64
