image,n_init,n_gaussians_final,n_iterations,total_time,oracle_clamp,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim01.png,256,2048,14,856.8152809143066,False,20.50235377351338,0.3360200822353363,0.008475118316709995,0.09206040948629379,20.71854236017232,0.3840174973011017,0.6159825325012207,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.07218682020902634,0.1809459626674652
kodim02.png,256,2048,14,1110.8366401195526,False,25.932015452722062,0.689715564250946,0.0020961447153240442,0.045783672481775284,26.78578719906422,0.7175946235656738,0.28240537643432617,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.03301170840859413,0.08289044201374055
kodim03.png,256,2048,14,710.2815055847168,False,24.715115576437658,0.7125819325447083,0.0019900917541235685,0.04461044445633888,27.01126904238505,0.7645122408866882,0.23548775911331177,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.027986153960227966,0.06948647499084473
kodim04.png,256,2048,14,795.8009147644043,False,23.711350231962186,0.6301302313804626,0.0026490604504942894,0.051469024270772934,25.76908133894548,0.6899075508117676,0.3100924491882324,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.03428563103079796,0.08944699466228485
kodim05.png,256,2048,14,826.3300199508667,False,16.86088496581943,0.21160537004470825,0.021438442170619965,0.1464187204837799,16.688067938580048,0.27990958094596863,0.720090389251709,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.11085718870162964,0.2327038288116455
kodim06.png,256,2048,14,796.5410962104797,False,22.862622613051546,0.5006299614906311,0.004296171013265848,0.06554518640041351,23.669184644900426,0.5366929173469543,0.46330708265304565,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.04365299642086029,0.12758381366729737
kodim07.png,256,2048,14,754.2212293148041,False,20.273049989455618,0.4815538227558136,0.007398925255984068,0.08601700514554977,21.30831367152828,0.538949191570282,0.461050808429718,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.05926686152815819,0.13962365090847018
kodim08.png,256,2048,14,805.1530222892761,False,15.999271128733712,0.28825512528419495,0.02328076958656311,0.1525803655385971,16.33002691827615,0.35682418942451477,0.6431758403778076,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.11257799714803696,0.21869756579399108
kodim09.png,256,2048,14,754.6180872917175,False,22.34318600196493,0.6619806885719299,0.004913911689072847,0.07009930163621902,23.08572616913648,0.7077150940895081,0.29228490591049194,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.04036437347531319,0.09074847996234894
kodim10.png,256,2048,14,773.1928567886353,False,23.725729687371626,0.6460826992988586,0.004238730762153864,0.06510553508996964,23.72764180719818,0.6952993273735046,0.30470067262649536,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.03996339067816734,0.09291084706783295
kodim11.png,256,2048,14,804.2509922981262,False,22.119778226214727,0.5430136322975159,0.005716806743294001,0.07560956478118896,22.428464683826256,0.5927725434303284,0.40722745656967163,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.04949339106678963,0.12104020416736604
kodim12.png,256,2048,14,670.4139873981476,False,23.558347955131815,0.6930368542671204,0.002814049134030938,0.05304761230945587,25.506682987198225,0.7242670059204102,0.27573299407958984,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.03305010870099068,0.08158668577671052
kodim13.png,256,2048,14,817.3718309402466,False,19.4488354173081,0.28920307755470276,0.012090873904526234,0.10995850712060928,19.17542288241878,0.339786559343338,0.6602134704589844,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.0810193121433258,0.19685814380645755
kodim14.png,256,2048,14,829.9305880069733,False,20.019124786837562,0.3821505606174469,0.008999694138765335,0.09486671537160873,20.45772274041245,0.4409538209438324,0.5590461492538452,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.06719318777322769,0.1655637800693512
kodim15.png,256,2048,14,717.9540894031525,False,22.502694503691842,0.7045888900756836,0.003619923023506999,0.06016579642891884,24.4130068133642,0.7388978004455566,0.26110219955444336,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.0382796935737133,0.08284419476985933
kodim16.png,256,2048,14,694.478277683258,False,26.164818158970924,0.6077818274497986,0.0019432627595961094,0.04408245533704758,27.11468466845809,0.6419784426689148,0.3580215573310852,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.02979450859129429,0.09543991833925247
kodim17.png,256,2048,14,771.7775983810425,False,22.63052063852962,0.5324835181236267,0.005130541045218706,0.07162779569625854,22.898368500714774,0.5849431157112122,0.41505688428878784,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.049087103456258774,0.12228105962276459
kodim18.png,256,2048,14,801.2120845317841,False,20.89623483911287,0.40807783603668213,0.007585314568132162,0.08709371089935303,21.200263845489694,0.4437674582004547,0.5562325716018677,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.06185661628842354,0.16073180735111237
kodim19.png,256,2048,14,774.884435415268,False,20.977937657319213,0.5417711734771729,0.006350845098495483,0.07969219237565994,21.971684671017098,0.6049830317497253,0.39501696825027466,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.048141200095415115,0.11751635372638702
kodim20.png,256,2048,14,813.7894668579102,False,22.04136683090463,0.734623908996582,0.0040313564240932465,0.06349296122789383,23.945487768262215,0.7766403555870056,0.22335964441299438,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.03179613873362541,0.07010883986949921
kodim21.png,256,2048,14,1423.2591044902802,False,21.127608917273292,0.5736410021781921,0.007904722355306149,0.08890850841999054,21.02113402080186,0.6098976135253906,0.3901023864746094,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.05680050328373909,0.12346087992191315
