iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,70,58,0.033518239855766296,0.002724965801462531,0.052201204001903534,25.646389040067636,0.7019315361976624,0.29806846380233765,0.5364938974380493,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.028490861877799034,0.08240638226270676
2,66,62,0.028490861877799034,0.0022788208443671465,0.0477369949221611,26.42289816606432,0.7628612518310547,0.2371387481689453,0.41181594133377075,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.024216584861278534,0.0668010175228119
3,61,67,0.024216584861278534,0.0018973565893247724,0.04355865716934204,27.218508741483976,0.8075275421142578,0.1924724578857422,0.3112696409225464,640,0.46875,51.2,0.02197265625,9437184,184320,fp32,288,0.02109123207628727,0.05536747723817825
4,59,69,0.02109123207628727,0.0015880456194281578,0.03985029086470604,27.991371983577938,0.8408086895942688,0.1591913104057312,0.24979357421398163,768,0.5625,42.666666666666664,0.0263671875,9437184,221184,fp32,288,0.01862431690096855,0.04673771560192108
5,52,76,0.01862431690096855,0.0013625766150653362,0.03691309690475464,28.656390100197356,0.8685404658317566,0.1314595341682434,0.19472011923789978,896,0.65625,36.57142857142857,0.03076171875,9437184,258048,fp32,288,0.016568046063184738,0.039546343684196475
6,47,81,0.016568046063184738,0.0011681485921144485,0.03417818993330002,29.325018420036958,0.8864428400993347,0.11355715990066528,0.16918016970157623,1024,0.75,32.0,0.03515625,9437184,294912,fp32,288,0.014752242714166641,0.034513226151466375
7,41,87,0.014752242714166641,0.001030031475238502,0.03209410235285759,29.87149630870509,0.9011361002922058,0.09886389970779419,0.14454323053359985,1152,0.84375,28.444444444444443,0.03955078125,9437184,331776,fp32,288,0.013488266617059708,0.030563393235206605
8,34,94,0.013488266617059708,0.0009211755823343992,0.030350875109434128,30.356577254105588,0.9111843109130859,0.08881568908691406,0.12912379205226898,1280,0.9375,25.6,0.0439453125,9437184,368640,fp32,288,0.012500661425292492,0.027763666957616805
9,29,99,0.012500661425292492,0.0008478821837343276,0.02911841683089733,30.716644538367067,0.9177119135856628,0.08228808641433716,0.11866612732410431,1408,1.03125,23.272727272727273,0.04833984375,9437184,405504,fp32,288,0.011777199804782867,0.025879377126693727
10,23,105,0.011777199804782867,0.0007266061147674918,0.026955632492899895,31.38700979945089,0.9284954071044922,0.07150459289550781,0.10540343075990677,1536,1.125,21.333333333333332,0.052734375,9437184,442368,fp32,288,0.010413563810288906,0.02263176962733269
11,18,110,0.010413563810288906,0.0006612107972614467,0.025714019313454628,31.796600188353747,0.9342713356018066,0.06572866439819336,0.09555529803037643,1664,1.21875,19.692307692307693,0.05712890625,9437184,479232,fp32,288,0.009774643927812576,0.020965448021888735
12,11,117,0.009774643927812576,0.0006253455067053437,0.025006908923387527,32.038801141334474,0.937096118927002,0.06290388107299805,0.09151279926300049,1792,1.3125,18.285714285714285,0.0615234375,9437184,516096,fp32,288,0.009340661577880383,0.020053305476903916
13,7,121,0.009340661577880383,0.0005463865818455815,0.02337491326034069,32.62499922755246,0.9470227360725403,0.05297726392745972,0.07786834239959717,1920,1.40625,17.066666666666666,0.06591796875,9437184,552960,fp32,288,0.007906841114163399,0.016920925676822664
14,4,124,0.007906841114163399,0.0005213114782236516,0.022832246497273445,32.82902663317454,0.9492570757865906,0.050742924213409424,0.07400016486644745,2048,1.5,16.0,0.0703125,9437184,589824,fp32,288,0.007556467317044735,0.016193758696317673
