image,n_init,n_gaussians_final,n_iterations,total_time,oracle_clamp,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim01.png,64,512,14,646.7043228149414,False,17.4172478438446,0.2488899976015091,0.01697106473147869,0.13027304410934448,17.702910096440263,0.25129857659339905,0.748701423406601,1.0283474922180176,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.10310991108417511,0.2322282135486603
kodim02.png,64,512,14,742.4319889545441,False,22.10864356760876,0.60639888048172,0.005770946387201548,0.0759667456150055,22.387530250180237,0.5919747352600098,0.40802526473999023,0.782755970954895,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.05603376403450966,0.1264320641756058
kodim03.png,64,512,14,535.2510759830475,False,21.563242620487006,0.677862823009491,0.005216558463871479,0.07222574949264526,22.82615852486197,0.6757669448852539,0.3242330551147461,0.6385147571563721,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.04821966588497162,0.10342234373092651
kodim04.png,64,512,14,554.7844548225403,False,20.072597261381993,0.5493026375770569,0.007485295180231333,0.08651760220527649,21.257910950480216,0.5576983094215393,0.4423016905784607,0.7650222778320312,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.06051328405737877,0.13687096536159515
kodim05.png,64,512,14,611.5023529529572,False,15.209549126460525,0.22054828703403473,0.03336787596344948,0.1826687604188919,14.766713452047426,0.21715128421783447,0.7828487157821655,1.001619577407837,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.14341887831687927,0.2713048458099365
kodim06.png,64,512,14,592.433168888092,False,20.194216769569266,0.4253678023815155,0.009821335785090923,0.09910265356302261,20.078294744356363,0.42012786865234375,0.5798721313476562,0.7723581790924072,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.07005644589662552,0.17201958298683168
kodim07.png,64,512,14,525.9979469776154,False,18.504467171565157,0.525874674320221,0.012388482689857483,0.11130356043577194,19.06981799546606,0.5227193236351013,0.4772806763648987,0.7975185513496399,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.08070401847362518,0.1600193500518799
kodim08.png,64,512,14,643.8098750114441,False,13.642714629632202,0.220350980758667,0.04445044696331024,0.21083274483680725,13.521238526257067,0.21341784298419952,0.7865821570158005,1.014012098312378,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.1632373332977295,0.2879062980413437
kodim09.png,64,512,14,640.3819739818573,False,18.96684880416342,0.6291247606277466,0.01662970334291458,0.12895621359348297,17.791154885100337,0.6042553782463074,0.3957446217536926,0.7405568361282349,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.0957513079047203,0.1557499706745148
kodim10.png,64,512,14,555.3592720031738,False,20.324416499157245,0.5994563102722168,0.00832574162632227,0.09124550223350525,20.795771410232664,0.5987374782562256,0.4012625217437744,0.7864108085632324,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.06608989834785461,0.13312442302703859
kodim11.png,64,512,14,804.3526999950409,False,19.384727040217438,0.4596046507358551,0.015495361760258675,0.12448036670684814,18.097984476994547,0.44046542048454285,0.5595345795154572,0.8186984658241272,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.08655891567468643,0.18115404844284058
kodim12.png,64,512,14,667.6510229110718,False,20.51919886076694,0.6423883438110352,0.008318151347339153,0.09120389819145203,20.799731587572925,0.6398846507072449,0.3601153492927551,0.6963327527046204,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.06374074518680573,0.12301566600799561
kodim13.png,64,512,14,682.1054620742798,False,16.294733708386982,0.1898682564496994,0.030030157417058945,0.1732921153306961,15.224422288987236,0.18750381469726562,0.8124961853027344,1.0640116930007935,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.13241219520568848,0.26842899322509767
kodim14.png,64,512,14,846.5900130271912,False,18.005262901619105,0.3390752971172333,0.016988176852464676,0.13033869862556458,17.69853289316996,0.33292922377586365,0.6670707762241364,0.9018785357475281,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.09819808602333069,0.21197262406349182
kodim15.png,64,512,14,761.7703049182892,False,15.887177715546406,0.5649452209472656,0.014181667007505894,0.11908680200576782,18.482726796486258,0.5841720700263977,0.4158279299736023,0.7420586347579956,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.08767277002334595,0.15330380201339722
kodim16.png,64,512,14,811.2067289352417,False,23.17188405902929,0.5460296273231506,0.004088606685400009,0.06394221633672714,23.88424660152004,0.5495585799217224,0.4504414200782776,0.7030331492424011,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.04481850191950798,0.1259430855512619
kodim17.png,64,512,14,673.9939408302307,False,20.241082565074482,0.5228186845779419,0.010438717901706696,0.10217004269361496,19.813528913909824,0.5004765391349792,0.49952346086502075,0.8121834993362427,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.07565343379974365,0.1604274392127991
kodim18.png,64,512,14,696.6574029922485,False,18.756029368927404,0.3650078773498535,0.01272855419665575,0.11282089352607727,18.952209011787883,0.3603142499923706,0.6396857500076294,0.9397900104522705,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.08196339011192322,0.19350786209106446
kodim19.png,64,512,14,616.1666028499603,False,18.810076297865596,0.49081698060035706,0.01255492027848959,0.11204873770475388,19.011860203357255,0.490291029214859,0.509708970785141,0.8374121189117432,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.07228892296552658,0.15977293252944946
kodim20.png,64,512,14,781.8695559501648,False,17.979449355919762,0.6626917719841003,0.010301006957888603,0.10149388015270233,19.871202914740575,0.6611045002937317,0.3388954997062683,0.5214629173278809,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.059137675911188126,0.11508924067020418
kodim21.png,64,512,14,777.5561850070953,False,18.54374168779477,0.5219364762306213,0.012913416139781475,0.11363721638917923,18.889588215831882,0.5153415203094482,0.48465847969055176,0.7459909319877625,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.07477875053882599,0.15675469636917114
kodim22.png,64,512,14,692.8665060997009,False,19.79360730767025,0.4704209566116333,0.010220261290669441,0.10109531134366989,19.905380513496326,0.4678228795528412,0.5321771204471588,0.8610919117927551,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.07209942489862442,0.1641149640083313
kodim23.png,64,512,14,680.8316979408264,False,18.092164594689063,0.6820977330207825,0.008519886992871761,0.09230323135852814,20.69566217574485,0.7004318237304688,0.29956817626953125,0.5464714169502258,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.06163046881556511,0.10921801030635833
kodim24.png,64,512,14,605.8909387588501,False,17.750726410856537,0.39275625348091125,0.015180584043264389,0.12320951372385025,18.187114238307426,0.38709792494773865,0.6129020750522614,0.9620686769485474,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.09231158345937729,0.1964296817779541
