iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,4,4,0.09705232083797455,0.011469844728708267,0.10709735751152039,19.404423708003172,0.6239243745803833,0.3760756254196167,0.5539067387580872,24,0.017578125,1365.3333333333333,0.000823974609375,9437184,6912,fp32,288,0.07542429864406586,0.13555456399917604
2,4,4,0.07542429864406586,0.009537206962704659,0.09765862673521042,20.20578861740061,0.6694460511207581,0.33055394887924194,0.46164125204086304,32,0.0234375,1024.0,0.0010986328125,9437184,9216,fp32,288,0.0658482015132904,0.11878935098648072
3,3,5,0.0658482015132904,0.008209490217268467,0.09060623496770859,20.856838802092877,0.7018075585365295,0.29819244146347046,0.41084879636764526,40,0.029296875,819.2,0.001373291015625,9437184,11520,fp32,288,0.05874236300587654,0.10663237869739534
4,3,5,0.05874236300587654,0.007146410644054413,0.08453644812107086,21.45912030633598,0.7279730439186096,0.2720269560813904,0.36022403836250305,48,0.03515625,682.6666666666666,0.00164794921875,9437184,13824,fp32,288,0.05244584009051323,0.09636206328868865
5,3,5,0.05244584009051323,0.006207318976521492,0.07878653705120087,22.070958886650157,0.7576453685760498,0.2423546314239502,0.30378401279449463,56,0.041015625,585.1428571428571,0.001922607421875,9437184,16128,fp32,288,0.04642213508486748,0.08560863435268402
6,2,6,0.04642213508486748,0.0054984320886433125,0.074151411652565,22.597612407582655,0.7788084149360657,0.22119158506393433,0.2701110243797302,64,0.046875,512.0,0.002197265625,9437184,18432,fp32,288,0.04259521886706352,0.07831449210643768
7,1,7,0.04259521886706352,0.00512977410107851,0.07162243872880936,22.899015886382816,0.7904684543609619,0.20953154563903809,0.25479304790496826,72,0.052734375,455.1111111111111,0.002471923828125,9437184,20736,fp32,288,0.04044177010655403,0.07425972521305085
8,1,7,0.04044177010655403,0.004961721133440733,0.07043948769569397,23.04367589005563,0.7960864901542664,0.20391350984573364,0.24764496088027954,80,0.05859375,409.6,0.00274658203125,9437184,23040,fp32,288,0.0394151508808136,0.07231482267379762
9,1,7,0.0394151508808136,0.004813597537577152,0.06938009709119797,23.17530189883899,0.8003063201904297,0.1996936798095703,0.2432466447353363,88,0.064453125,372.3636363636364,0.003021240234375,9437184,25344,fp32,288,0.03852672129869461,0.07076011300086976
10,1,7,0.03852672129869461,0.004712138324975967,0.06864501535892487,23.26781911690467,0.8034220337867737,0.19657796621322632,0.2397429645061493,96,0.0703125,341.3333333333333,0.0032958984375,9437184,27648,fp32,288,0.03785672038793564,0.06960096955299377
11,1,7,0.03785672038793564,0.004607624374330044,0.06787948310375214,23.36522998617198,0.8051776885986328,0.1948223114013672,0.23675163090229034,104,0.076171875,315.0769230769231,0.003570556640625,9437184,29952,fp32,288,0.0373891182243824,0.06887575685977937
12,1,7,0.0373891182243824,0.004490998573601246,0.0670149102807045,23.4765699872723,0.8078654408454895,0.1921345591545105,0.23350998759269714,112,0.08203125,292.57142857142856,0.00384521484375,9437184,32256,fp32,288,0.03672376647591591,0.06780592501163483
13,1,7,0.03672376647591591,0.004369797185063362,0.06610444188117981,23.59538652202975,0.811106264591217,0.18889373540878296,0.2294243425130844,120,0.087890625,273.06666666666666,0.004119873046875,9437184,34560,fp32,288,0.03600827604532242,0.06658536791801453
14,1,7,0.03600827604532242,0.004299355670809746,0.06556947529315948,23.665966016484084,0.8122329711914062,0.18776702880859375,0.22729036211967468,128,0.09375,256.0,0.00439453125,9437184,36864,fp32,288,0.03569598123431206,0.06611019074916841
