iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,6,2,0.09046658873558044,0.011514322832226753,0.10730481147766113,19.387614535681447,0.714362382888794,0.28563761711120605,0.41620373725891113,24,0.017578125,1365.3333333333333,0.000823974609375,9437184,6912,fp32,288,0.07530706375837326,0.11737317442893982
2,6,2,0.07530706375837326,0.009849299676716328,0.0992436408996582,20.06594826480586,0.7370710372924805,0.26292896270751953,0.36874255537986755,32,0.0234375,1024.0,0.0010986328125,9437184,9216,fp32,288,0.06890660524368286,0.1077110767364502
3,6,2,0.06890660524368286,0.008743878453969955,0.09350870549678802,20.58295925004135,0.7534174919128418,0.2465825080871582,0.3421207368373871,40,0.029296875,819.2,0.001373291015625,9437184,11520,fp32,288,0.06380179524421692,0.10035793781280519
4,6,2,0.06380179524421692,0.008122731000185013,0.09012619405984879,20.902979582447756,0.7639827132225037,0.23601728677749634,0.3250066637992859,48,0.03515625,682.6666666666666,0.00164794921875,9437184,13824,fp32,288,0.060716986656188965,0.09577704668045045
5,6,2,0.060716986656188965,0.007689026650041342,0.08768709748983383,21.141287435946804,0.7734997272491455,0.2265002727508545,0.31405797600746155,56,0.041015625,585.1428571428571,0.001922607421875,9437184,16128,fp32,288,0.05796666443347931,0.09167338609695436
6,6,2,0.05796666443347931,0.007175134960561991,0.08470616489648819,21.441699125533912,0.7863349914550781,0.21366500854492188,0.30137336254119873,64,0.046875,512.0,0.002197265625,9437184,18432,fp32,288,0.05419056490063667,0.08608545362949371
7,6,2,0.05419056490063667,0.006888952571898699,0.08299971371889114,21.61846728501387,0.7951696515083313,0.2048303484916687,0.2944459915161133,72,0.052734375,455.1111111111111,0.002471923828125,9437184,20736,fp32,288,0.051812946796417236,0.08241642713546754
8,6,2,0.051812946796417236,0.006493263877928257,0.08058079332113266,21.87536996121836,0.8015263676643372,0.19847363233566284,0.2857140004634857,80,0.05859375,409.6,0.00274658203125,9437184,23040,fp32,288,0.049865737557411194,0.07958731651306153
9,7,1,0.049865737557411194,0.006193716544657946,0.07870016992092133,22.080487317326963,0.8047062754631042,0.19529372453689575,0.2815549969673157,88,0.064453125,372.3636363636364,0.003021240234375,9437184,25344,fp32,288,0.04877471551299095,0.0780785173177719
10,7,1,0.04877471551299095,0.00589153915643692,0.07675636559724808,22.297712008737463,0.8092840313911438,0.1907159686088562,0.27692317962646484,96,0.0703125,341.3333333333333,0.0032958984375,9437184,27648,fp32,288,0.04728136956691742,0.07596828937530518
11,7,1,0.04728136956691742,0.005750254727900028,0.07583043724298477,22.40312938621084,0.8110191822052002,0.1889808177947998,0.2745611369609833,104,0.076171875,315.0769230769231,0.003570556640625,9437184,29952,fp32,288,0.04674443602561951,0.07519171237945557
12,7,1,0.04674443602561951,0.005535480100661516,0.07440080493688583,22.568447267035356,0.8142536282539368,0.18574637174606323,0.27048471570014954,112,0.08203125,292.57142857142856,0.00384521484375,9437184,32256,fp32,288,0.0456959493458271,0.07370603382587433
13,7,1,0.0456959493458271,0.00538443960249424,0.07337874174118042,22.688594665535224,0.8162466883659363,0.18375331163406372,0.2678739130496979,120,0.087890625,273.06666666666666,0.004119873046875,9437184,34560,fp32,288,0.045072365552186966,0.07280855476856232
14,7,1,0.045072365552186966,0.0052411435171961784,0.07239574193954468,22.80573803845847,0.8183237910270691,0.1816762089729309,0.2652563154697418,128,0.09375,256.0,0.00439453125,9437184,36864,fp32,288,0.0444277785718441,0.07187746465206146
