,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,10.799185555516482,0.29628337795535725,0.2136659836396575,-1.0,2.25,10.666666666666666,308.75502250591916
std,2.0013991782747524,0.0752875706612094,0.05525162524856354,0.0,0.0,0.0,20.258751069737453
min,5.310009621885021,0.1891479343175888,0.1134437695145607,-1.0,2.25,10.666666666666666,275.1514239311218
25%,10.102290925180528,0.255435511469841,0.1706015169620514,-1.0,2.25,10.666666666666666,299.85814583301544
50%,10.852248129888352,0.2866737097501755,0.2148277759552002,-1.0,2.25,10.666666666666666,308.3688509464264
75%,11.856688073860681,0.312624029815197,0.24626673012971878,-1.0,2.25,10.666666666666666,320.7751735448837
max,14.463968650518114,0.5426246523857117,0.345732182264328,-1.0,2.25,10.666666666666666,369.8158767223358
