image,method,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,fit_time
kodim01.png,EM_standard,0.005799824539765355,0.0761565790970508,22.36585144810224,0.4775647443152449,0.5224352556847551,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim02.png,EM_standard,0.0012740937511263697,0.035694449864458896,28.947986143092727,0.770863270618159,0.22913672938184104,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim03.png,EM_standard,0.0012705064201819411,0.03564416390072772,28.960231360110576,0.8363761287909574,0.16362387120904265,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim04.png,EM_standard,0.0019933792616822054,0.04464727608356646,27.0041006427706,0.7557371846287073,0.24426281537129269,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim05.png,EM_standard,0.012227448342809857,0.11057779317209156,19.126641632627642,0.43673691582926066,0.5632630841707393,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim06.png,EM_standard,0.003629863523419478,0.060248348719441916,24.401097033771272,0.5797178016040375,0.4202821983959625,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim07.png,EM_standard,0.005219698168598015,0.07224747863142364,22.823546095460642,0.6596466020436059,0.3403533979563941,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim08.png,EM_standard,0.01463122923099489,0.12095961818307335,18.347191854391443,0.5107271050022935,0.48927289499770654,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim09.png,EM_standard,0.002890978085602092,0.053767816448151325,25.38955200386816,0.7876795609276434,0.21232043907235665,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim10.png,EM_standard,0.002522083963474585,0.05022035407555969,25.9824045929081,0.7641640251326915,0.23583597486730845,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim11.png,EM_standard,0.0036956615025120544,0.060791952613088965,24.323078140545814,0.668140930711307,0.331859069288693,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim12.png,EM_standard,0.002018823326665225,0.04493131788257746,26.949016858169625,0.7824701400318457,0.21752985996815433,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim13.png,EM_standard,0.008678549678909554,0.09315873377686901,20.615528461453852,0.40317376170845537,0.5968262382915446,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim14.png,EM_standard,0.006480864324768919,0.08050381559136759,21.883670702951832,0.5272147135370163,0.4727852864629837,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim15.png,EM_standard,0.0022814623832580413,0.047764656214172016,26.417866874778376,0.830454933547013,0.16954506645298695,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim16.png,EM_standard,0.0014871024572129712,0.03856296743266746,28.27659108768333,0.7032442903209302,0.29675570967906983,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim17.png,EM_standard,0.0031745997664409924,0.05634358673745391,24.9831102003585,0.7048782402405585,0.29512175975944155,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim18.png,EM_standard,0.005531838747166555,0.07437633190179894,22.57130488041478,0.5369968894639671,0.46300311053603294,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim19.png,EM_standard,0.005586286361715847,0.07474146347052515,22.528768054546724,0.6643386816107282,0.3356613183892718,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim20.png,EM_standard,0.0033348734874106916,0.05774836350417812,24.769206369383152,0.8136184275059605,0.18638157249403953,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim21.png,EM_standard,0.0052318400424916705,0.07233145956284631,22.81345542536457,0.6707380610833615,0.32926193891663846,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim22.png,EM_standard,0.0026456198862817187,0.051435589685369786,25.774725536288422,0.6396806859844547,0.3603193140155453,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim23.png,EM_standard,0.0024092333777873897,0.04908394215817827,26.18121128695684,0.8390104426212712,0.16098955737872878,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
kodim24.png,EM_standard,0.0053930912020266645,0.07343766882211515,22.681622353391305,0.6012631339000973,0.39873686609990266,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,900.0
