tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,21.73169299156365,21.821637644289865,64,64
1,0,64,64,128,32,32,7,19.9315732865495,20.495685044014394,64,64
2,0,128,64,192,32,32,7,20.88523960326247,21.156143037121545,64,64
3,0,192,64,256,32,32,7,21.379034948072146,22.14402429228852,64,64
4,64,0,128,64,32,32,7,17.245600158266573,16.86457720028509,64,64
5,64,64,128,128,32,32,7,16.75938973641366,16.909484339428648,64,64
6,64,128,128,192,32,32,7,19.075007027175186,19.12698010715639,64,64
7,64,192,128,256,32,32,7,22.103696621585645,22.91208124634689,64,64
8,128,0,192,64,32,32,7,18.511449574285578,18.990936733918627,64,64
9,128,64,192,128,32,32,7,16.43656615326689,17.043039472503402,64,64
10,128,128,192,192,32,32,7,14.851011927440826,15.12541675494596,64,64
11,128,192,192,256,32,32,7,20.677937200864704,20.61343157869046,64,64
12,192,0,256,64,32,32,7,26.493407890898794,22.745811217725944,64,64
13,192,64,256,128,32,32,7,23.834397858179063,23.08490284345723,64,64
14,192,128,256,192,32,32,7,20.85977842046407,20.979996333532217,64,64
15,192,192,256,256,32,32,7,21.971359289753888,20.955979971557042,64,64
