tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,21.18091556660323,22.288336258460518,64,64
1,0,64,64,128,32,32,7,22.278755981901952,22.728874368329972,64,64
2,0,128,64,192,32,32,7,21.601514796930857,21.99436090132867,64,64
3,0,192,64,256,32,32,7,19.144053534975644,19.49386383934086,64,64
4,64,0,128,64,32,32,7,27.060601495789456,27.872824659740857,64,64
5,64,64,128,128,32,32,7,26.152748600014988,27.92694454232612,64,64
6,64,128,128,192,32,32,7,23.449159786893425,25.43689577454856,64,64
7,64,192,128,256,32,32,7,26.147305306212722,27.790083268010655,64,64
8,128,0,192,64,32,32,7,21.9562312373083,22.62461425864152,64,64
9,128,64,192,128,32,32,7,23.60736806017954,24.979182083306082,64,64
10,128,128,192,192,32,32,7,19.194623547998326,20.016929388706558,64,64
11,128,192,192,256,32,32,7,18.92960394601721,18.840272246550327,64,64
12,192,0,256,64,32,32,7,23.118589477246466,22.947023993256025,64,64
13,192,64,256,128,32,32,7,23.137354219672712,21.816302231383503,64,64
14,192,128,256,192,32,32,7,19.09695965412623,19.062720953014555,64,64
15,192,192,256,256,32,32,7,26.26507656027336,22.320769257517384,64,64
