tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,27.719461831191083,25.31592239293954,64,64
1,0,64,64,128,32,32,7,22.125312770840466,23.516711476749318,64,64
2,0,128,64,192,32,32,7,23.94243887101024,21.715157242328175,64,64
3,0,192,64,256,32,32,7,18.501836596266735,18.747618086514983,64,64
4,64,0,128,64,32,32,7,26.486581849728978,26.915121093021106,64,64
5,64,64,128,128,32,32,7,18.309095633434907,18.875256905493643,64,64
6,64,128,128,192,32,32,7,16.747204724948602,17.610548091441206,64,64
7,64,192,128,256,32,32,7,17.08979422641274,17.145753412924726,64,64
8,128,0,192,64,32,32,7,26.115782195554832,25.515205014682174,64,64
9,128,64,192,128,32,32,7,19.001721165574153,19.491043192758344,64,64
10,128,128,192,192,32,32,7,19.07268801562252,18.78440041665562,64,64
11,128,192,192,256,32,32,7,16.415616418508062,16.857619612849305,64,64
12,192,0,256,64,32,32,7,20.807815327087823,20.975204906515494,64,64
13,192,64,256,128,32,32,7,22.275878145707168,20.23238457537176,64,64
14,192,128,256,192,32,32,7,21.619311006479457,20.81919917974456,64,64
15,192,192,256,256,32,32,7,16.928585025704656,16.57581387479373,64,64
