tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,26.396767000758512,25.73626509142462,64,64
1,0,64,64,128,32,32,7,23.676494333059573,24.586226343644565,64,64
2,0,128,64,192,32,32,7,22.683157354104686,22.67446140355547,64,64
3,0,192,64,256,32,32,7,25.80080148744053,25.800735940632656,64,64
4,64,0,128,64,32,32,7,25.395010704674913,25.373546047813356,64,64
5,64,64,128,128,32,32,7,18.6172817540237,19.769576321114325,64,64
6,64,128,128,192,32,32,7,23.189226481639984,24.528609858137052,64,64
7,64,192,128,256,32,32,7,27.101949232319814,26.122887720700554,64,64
8,128,0,192,64,32,32,7,27.560072075273837,26.167153274279052,64,64
9,128,64,192,128,32,32,7,24.047787911001727,23.76939491166125,64,64
10,128,128,192,192,32,32,7,29.320063832881566,28.950147432828892,64,64
11,128,192,192,256,32,32,7,26.279908444902688,27.4380839122933,64,64
12,192,0,256,64,32,32,7,25.98975557673876,23.356382613088652,64,64
13,192,64,256,128,32,32,7,24.79742634756827,25.425209831598558,64,64
14,192,128,256,192,32,32,7,30.318688178313383,31.640776739013432,64,64
15,192,192,256,256,32,32,7,27.171792020537623,27.073999633386382,64,64
