tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,21.5469291014767,16.82582723328778,64,64
1,0,64,64,128,32,32,7,18.58266485603966,18.472302976682613,64,64
2,0,128,64,192,32,32,7,21.625045673044433,21.259202235622162,64,64
3,0,192,64,256,32,32,7,19.73888573935024,22.434083311432182,64,64
4,64,0,128,64,32,32,7,24.0302605591075,22.33285112802627,64,64
5,64,64,128,128,32,32,7,16.043511040029156,14.107142589161306,64,64
6,64,128,128,192,32,32,7,19.58523635316682,20.18031080268264,64,64
7,64,192,128,256,32,32,7,17.289826785559605,18.34298779551791,64,64
8,128,0,192,64,32,32,7,24.465476475504744,25.151491126328548,64,64
9,128,64,192,128,32,32,7,18.314980575291994,19.1730455606115,64,64
10,128,128,192,192,32,32,7,25.11898389549854,26.971682083844737,64,64
11,128,192,192,256,32,32,7,16.90961559018144,16.233657187098625,64,64
12,192,0,256,64,32,32,7,19.34138275599527,15.199364734434756,64,64
13,192,64,256,128,32,32,7,23.085977251584723,23.08764727989316,64,64
14,192,128,256,192,32,32,7,24.201007777890663,24.675703144377934,64,64
15,192,192,256,256,32,32,7,14.262253485380187,17.74903663934286,64,64
