tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,24.141178916163867,23.515605635192372,64,64
1,0,64,64,128,32,32,7,21.694179784274375,22.00172866337247,64,64
2,0,128,64,192,32,32,7,21.055297362005113,23.259349838930827,64,64
3,0,192,64,256,32,32,7,21.90862597642962,20.677056517465772,64,64
4,64,0,128,64,32,32,7,17.045151014094174,17.038864225677802,64,64
5,64,64,128,128,32,32,7,19.533596521026254,20.362313045696723,64,64
6,64,128,128,192,32,32,7,14.139399363846909,14.96012141239084,64,64
7,64,192,128,256,32,32,7,22.196732128191652,21.41004410697414,64,64
8,128,0,192,64,32,32,7,22.293978176165695,22.384754217945048,64,64
9,128,64,192,128,32,32,7,22.33795451069649,22.239638648596408,64,64
10,128,128,192,192,32,32,7,25.363588112390527,25.350877943496354,64,64
11,128,192,192,256,32,32,7,21.219153253201423,21.032440587911253,64,64
12,192,0,256,64,32,32,7,24.558329979444714,21.817524975798296,64,64
13,192,64,256,128,32,32,7,22.238683249800104,23.069530222117468,64,64
14,192,128,256,192,32,32,7,20.793772952250347,22.035458090534235,64,64
15,192,192,256,256,32,32,7,21.797080399528067,21.925893594984707,64,64
