tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,22.1924741981822,17.38170933057065,64,64
1,0,64,64,128,32,32,7,17.21981247965928,16.915135490173956,64,64
2,0,128,64,192,32,32,7,17.063994939254176,20.025196073115804,64,64
3,0,192,64,256,32,32,7,19.730209658202714,19.8592767380456,64,64
4,64,0,128,64,32,32,7,28.081432557381774,28.7184664446098,64,64
5,64,64,128,128,32,32,7,15.959158875092665,15.649827689467049,64,64
6,64,128,128,192,32,32,7,27.641160074957114,23.00401268488116,64,64
7,64,192,128,256,32,32,7,24.071119665872487,21.170856757279335,64,64
8,128,0,192,64,32,32,7,30.65242974126134,24.748279497435995,64,64
9,128,64,192,128,32,32,7,17.254729187068516,17.99898282628433,64,64
10,128,128,192,192,32,32,7,31.12692867675731,31.21362270794997,64,64
11,128,192,192,256,32,32,7,28.75848196070102,23.5631683046863,64,64
12,192,0,256,64,32,32,7,26.07627791973442,21.307063655793094,64,64
13,192,64,256,128,32,32,7,26.262270470774233,25.617659776379828,64,64
14,192,128,256,192,32,32,7,27.80312495993494,24.735077468899668,64,64
15,192,192,256,256,32,32,7,25.925629506593527,21.488267749428157,64,64
