tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,19.101060986480167,16.803910207261723,64,64
1,0,64,64,128,32,32,7,18.16779459594232,18.08355385048399,64,64
2,0,128,64,192,32,32,7,15.275339075421675,16.010338627691134,64,64
3,0,192,64,256,32,32,7,16.168689632837683,15.881676221697322,64,64
4,64,0,128,64,32,32,7,18.957900560330877,17.989854006669354,64,64
5,64,64,128,128,32,32,7,15.851915628386251,16.257640388183063,64,64
6,64,128,128,192,32,32,7,13.557241714523606,14.515118051873602,64,64
7,64,192,128,256,32,32,7,14.747868351956363,14.095378280108704,64,64
8,128,0,192,64,32,32,7,15.79953095665141,15.99789800820978,64,64
9,128,64,192,128,32,32,7,16.86304936200811,17.377278539050035,64,64
10,128,128,192,192,32,32,7,13.643405330389577,13.312014586686677,64,64
11,128,192,192,256,32,32,7,14.529669905540656,13.887981584098375,64,64
12,192,0,256,64,32,32,7,15.880987573930312,16.50695137385314,64,64
13,192,64,256,128,32,32,7,16.029032064778505,16.42370534201809,64,64
14,192,128,256,192,32,32,7,14.30113690904345,14.64722024850003,64,64
15,192,192,256,256,32,32,7,14.722605235673647,14.837891208238034,64,64
