tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,16.611073623497987,13.556781673080618,64,64
1,0,64,64,128,32,32,7,17.732321239141502,13.693185829370043,64,64
2,0,128,64,192,32,32,7,24.683504475603975,18.534095630983856,64,64
3,0,192,64,256,32,32,7,25.450719529157418,20.182106749350716,64,64
4,64,0,128,64,32,32,7,21.30731391021852,21.306595593574443,64,64
5,64,64,128,128,32,32,7,21.245575461862558,21.533285027732557,64,64
6,64,128,128,192,32,32,7,23.647968693711718,24.68832711777024,64,64
7,64,192,128,256,32,32,7,28.21569238557835,27.228702700058246,64,64
8,128,0,192,64,32,32,7,17.976367575208773,18.29346960262866,64,64
9,128,64,192,128,32,32,7,19.98932954699875,20.1321530658919,64,64
10,128,128,192,192,32,32,7,21.123633953496643,21.294861193311746,64,64
11,128,192,192,256,32,32,7,27.012627810247693,26.916534421327363,64,64
12,192,0,256,64,32,32,7,21.659193882927056,20.441592318044233,64,64
13,192,64,256,128,32,32,7,30.383261569700228,30.80312040928943,64,64
14,192,128,256,192,32,32,7,28.787614602209736,29.02753158327279,64,64
15,192,192,256,256,32,32,7,28.12649410348085,28.43764146771079,64,64
