tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,19.310883269704767,19.231466659778334,64,64
1,0,64,64,128,32,32,7,19.77508453762225,20.003800813284958,64,64
2,0,128,64,192,32,32,7,18.172853662398083,18.265808744681248,64,64
3,0,192,64,256,32,32,7,18.59378135440364,18.46165959249267,64,64
4,64,0,128,64,32,32,7,20.668492356041774,19.753358387623067,64,64
5,64,64,128,128,32,32,7,20.143291323259792,18.722835141056063,64,64
6,64,128,128,192,32,32,7,19.923704546159808,18.317466345119797,64,64
7,64,192,128,256,32,32,7,20.32266450728465,19.362160054602782,64,64
8,128,0,192,64,32,32,7,20.435505377956417,21.653481463782835,64,64
9,128,64,192,128,32,32,7,20.580712534451997,21.88651205848759,64,64
10,128,128,192,192,32,32,7,18.076270929053916,18.25489322226411,64,64
11,128,192,192,256,32,32,7,18.27744469704614,17.80065280486691,64,64
12,192,0,256,64,32,32,7,22.26122327166123,22.418030359377468,64,64
13,192,64,256,128,32,32,7,20.976091222497033,21.09706669343941,64,64
14,192,128,256,192,32,32,7,22.677549958092836,22.598002048982302,64,64
15,192,192,256,256,32,32,7,22.342205207280283,22.196016498280244,64,64
