tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,32,32,7,16.8548700049442,17.466915026849044,64,64
1,0,64,64,128,32,32,7,18.602937069892313,18.69802058478595,64,64
2,0,128,64,192,32,32,7,18.313417501961332,18.766892267674162,64,64
3,0,192,64,256,32,32,7,23.625984824110766,23.0235692047323,64,64
4,64,0,128,64,32,32,7,18.684400421146247,19.604183195309048,64,64
5,64,64,128,128,32,32,7,21.358174930540308,21.42247292431303,64,64
6,64,128,128,192,32,32,7,18.991058795231922,19.657979146857784,64,64
7,64,192,128,256,32,32,7,18.46244939883539,18.735172703353822,64,64
8,128,0,192,64,32,32,7,19.114735960284015,19.723080300620246,64,64
9,128,64,192,128,32,32,7,23.04758831789792,23.243550727555142,64,64
10,128,128,192,192,32,32,7,22.937892383995045,23.054034050730372,64,64
11,128,192,192,256,32,32,7,24.7117528271028,24.606130934441378,64,64
12,192,0,256,64,32,32,7,19.410152450878066,18.543560015843894,64,64
13,192,64,256,128,32,32,7,20.688887098621343,20.384580014895253,64,64
14,192,128,256,192,32,32,7,20.504643966410036,20.51705684433251,64,64
15,192,192,256,256,32,32,7,21.893631425303152,20.748490001427278,64,64
