image,variant,fit_time,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian
kodim13.png,standard,1006.5941421985626,0.008707176893949509,0.09331225603818893,20.601226529359565,0.403306245803833,0.596693754196167,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim14.png,standard,936.2689135074615,0.006476931273937225,0.08047938346862793,21.88630744228636,0.5273488163948059,0.4726511836051941,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim15.png,standard,779.6585600376129,0.002277038525789976,0.04771832376718521,26.426296150837825,0.8309310078620911,0.16906899213790894,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim16.png,standard,937.6969902515411,0.001482380903325975,0.03850169852375984,28.2904022602577,0.703726589679718,0.296273410320282,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim17.png,standard,949.1139395236969,0.0031645463313907385,0.056254301220178604,24.996885377061385,0.705252468585968,0.294747531414032,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim18.png,standard,1050.345501422882,0.005529407877475023,0.07435999065637589,22.573213769511135,0.537146806716919,0.46285319328308105,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim19.png,standard,856.2000138759613,0.005594851914793253,0.07479874044656754,22.522114262465635,0.6648266911506653,0.3351733088493347,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim20.png,standard,682.4449465274811,0.0033364782575517893,0.057762257754802704,24.767116836030723,0.8141819834709167,0.18581801652908325,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim21.png,standard,949.5918295383453,0.0052404459565877914,0.07239092141389847,22.80631729617026,0.6712281703948975,0.32877182960510254,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim22.png,standard,848.0474729537964,0.0026450895238667727,0.05143043398857117,25.775596303020883,0.6399560570716858,0.3600439429283142,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim23.png,standard,849.4860129356384,0.0024046974722296,0.049037713557481766,26.189395587819384,0.8394405841827393,0.16055941581726074,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
kodim24.png,standard,954.8994162082672,0.005416166502982378,0.0735946074128151,22.66307971618325,0.60140061378479,0.39859938621520996,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288
