epoch,loss,l1,dssim,mse,rmse,psnr,ssim,active_gaussians
1,0.30944401025772095,0.2757275104522705,0.44430992007255554,0.10698673874139786,0.3270882736225771,9.706700503981857,0.5556900799274445,2500
2,0.3011956512928009,0.2693007290363312,0.4287753105163574,0.10209107398986816,0.31951693850227747,9.91012226992159,0.5712246894836426,2500
3,0.2963453531265259,0.2657800614833832,0.41860640048980713,0.09883039444684982,0.31437301800067036,10.051094708581218,0.5813935995101929,2500
4,0.29335418343544006,0.2634195387363434,0.4130927622318268,0.09666550159454346,0.31091076146467406,10.147284907242929,0.5869072377681732,2500
5,0.2908296585083008,0.2613578140735626,0.40871700644493103,0.09495430439710617,0.3081465631758793,10.224853429125623,0.591282993555069,2500
6,0.28835633397102356,0.2592998743057251,0.4045821726322174,0.09352486580610275,0.3058183542662257,10.290729058111943,0.5954178273677826,2500
7,0.28600797057151794,0.2573297321796417,0.40072086453437805,0.09222564101219177,0.30368674816690927,10.3514831706598,0.599279135465622,2500
8,0.28355351090431213,0.2552606165409088,0.3967250883579254,0.0908837541937828,0.3014693254607885,10.41513741102725,0.6032749116420746,2500
9,0.28117117285728455,0.2532082498073578,0.3930228054523468,0.0895402729511261,0.29923280727742085,10.479815855789248,0.6069771945476532,2500
10,0.27870434522628784,0.2511492371559143,0.38892483711242676,0.08818289637565613,0.29695605125280095,10.546156403391908,0.6110751628875732,2500
11,0.2763541042804718,0.2491251677274704,0.3852698504924774,0.08692044764757156,0.29482273936650744,10.608780451932207,0.6147301495075226,2500
12,0.2741542160511017,0.24713928997516632,0.382213830947876,0.08576633781194687,0.2928589042729397,10.666831332193938,0.617786169052124,2479
13,0.2719081938266754,0.24508480727672577,0.379201740026474,0.08461641520261765,0.2908890083908597,10.725453771052734,0.620798259973526,2479
14,0.26964157819747925,0.24297182261943817,0.3763205111026764,0.0834466889500618,0.2888714055597435,10.785908903306217,0.6236794888973236,2479
15,0.2673376798629761,0.24086374044418335,0.3732333183288574,0.08225236088037491,0.2867967239707855,10.848516271648268,0.6267666816711426,2479
16,0.26501989364624023,0.23874084651470184,0.3701361119747162,0.08100249618291855,0.284609374727746,10.915015971066374,0.6298638880252838,2479
17,0.262797474861145,0.23658032715320587,0.367666095495224,0.07976049184799194,0.28241900050809604,10.982121760399387,0.632333904504776,2479
18,0.2604852616786957,0.23435638844966888,0.36500072479248047,0.07851524651050568,0.28020572176617964,11.05046000887059,0.6349992752075195,2479
19,0.258085697889328,0.2321118861436844,0.36198094487190247,0.07726996392011642,0.2779747541056857,11.119892899792308,0.6380190551280975,2479
20,0.2556600570678711,0.22985036671161652,0.3588988482952118,0.0760292336344719,0.2757339907129186,11.190193865560918,0.6411011517047882,2479
21,0.25326716899871826,0.22756217420101166,0.3560870885848999,0.07479419559240341,0.27348527490964375,11.261321036939457,0.6439129114151001,2479
22,0.25091293454170227,0.2252672165632248,0.3534957468509674,0.07356179505586624,0.2712227775388089,11.333476810547591,0.6465042531490326,2479
23,0.2484961450099945,0.22293202579021454,0.350752592086792,0.07233350723981857,0.2689488933604646,11.406604761250668,0.649247407913208,2479
24,0.2460707128047943,0.2205985188484192,0.3479594886302948,0.07113167643547058,0.2667052238623582,11.479369550934761,0.6520405113697052,2479
