,count,mean,std,min,25%,50%,75%,max
psnr,9.0,25.549117472828378,2.589061546981183,21.403173966549826,23.98368812475354,25.88319439927747,27.27649274303047,29.2477878195346
ssim,9.0,0.7621096041467454,0.04350745878550162,0.689261257648468,0.7564458250999451,0.7632167935371399,0.7991504669189453,0.818084180355072
rmse,9.0,0.05493676331308148,0.016713165203930763,0.0344834402203559,0.0432688519358634,0.0507972575724124,0.0632143318653106,0.0850827097892761
lpips,9.0,0.2927909510003196,0.06535852399134882,0.2252594232559204,0.2308109104633331,0.2812672853469848,0.3442737460136413,0.3962271511554718
bits_per_pixel,9.0,10.986328125,0.0,10.986328125,10.986328125,10.986328125,10.986328125,10.986328125
total_time,9.0,3879.324322753482,317.3237088795891,3563.8519637584686,3664.583908081055,3821.70804810524,3933.476017951965,4456.766606807709
