image,pure_em_time,pure_em_psnr,pure_em_ssim,n_init,n_gaussians_final,n_iterations,total_time,oracle_clamp,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim01.png,37.144710063934326,20.507428740206876,0.3224400281906128,64,512,14,87.35852909088135,False,18.518111866750957,0.23673434555530548,0.01262422651052475,0.11235758662223816,18.987952522502113,0.2458404153585434,0.7541595697402954,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.08749610930681229,0.2208288013935089
kodim02.png,29.612789630889893,26.67282593609712,0.692473828792572,64,512,14,82.93369746208191,False,23.14091163892282,0.6302483677864075,0.003739894600585103,0.06115467846393585,24.271406073758072,0.637263298034668,0.36273670196533203,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.04172566905617714,0.10592787563800812
kodim03.png,24.129993200302124,25.521309422141726,0.741138756275177,64,512,14,64.44968104362488,False,22.33279952619734,0.6432202458381653,0.004486461635679007,0.06698105484247208,23.48096025416446,0.6514081358909607,0.3485918641090393,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.04509938880801201,0.10579788386821747
kodim04.png,28.720669507980347,23.96747566525115,0.6445767879486084,64,512,14,67.72024202346802,False,20.727378534292995,0.5154703259468079,0.0066528841853141785,0.08156521618366241,21.7699004091129,0.5331065058708191,0.4668934941291809,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.05726735666394234,0.13919258415699007
kodim05.png,33.076218128204346,17.09630304340427,0.23192931711673737,64,512,14,78.60345888137817,False,15.943440706782301,0.15188805758953094,0.029013531282544136,0.170333594083786,15.373993832378343,0.16041778028011322,0.8395822048187256,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.13525599241256714,0.27612123489379886
kodim06.png,30.952712535858154,22.56861491992899,0.4969198703765869,64,512,14,73.72354483604431,False,21.465123955001047,0.45511555671691895,0.0069240727461874485,0.0832110121846199,21.596383887946967,0.45758411288261414,0.5424158573150635,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.06088300421833992,0.15718957483768464
kodim07.png,32.346415519714355,20.927649896583596,0.5159572958946228,64,512,14,77.6195912361145,False,18.970913425968178,0.4069472849369049,0.01096908375620842,0.10473339259624481,19.598296472825815,0.4229329526424408,0.5770670175552368,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.07623489946126938,0.17640132308006287
kodim08.png,30.33936643600464,16.25524779574616,0.2999497354030609,64,512,14,85.46790075302124,False,14.460078412109354,0.19608354568481445,0.034835536032915115,0.1866428107023239,14.579774789611026,0.20851898193359375,0.7914810180664062,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.14592646062374115,0.2750373721122742
kodim09.png,31.367733240127563,22.07613665394724,0.6632084250450134,64,512,14,74.59381222724915,False,20.036289775869797,0.5856111645698547,0.01254535187035799,0.1120060384273529,19.015171221074347,0.56923907995224,0.43076092004776,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.08071727305650711,0.1507260024547577
kodim10.png,25.61145782470703,23.417976813517754,0.6492913365364075,64,512,14,67.43448686599731,False,20.313348814405142,0.5490939617156982,0.006164081394672394,0.07851166278123856,22.101316204503277,0.583387553691864,0.416612446308136,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.05475851893424988,0.12712930440902712
kodim11.png,26.23700737953186,22.09610394602273,0.5354616641998291,64,512,14,72.05163931846619,False,20.21872811666704,0.4660972058773041,0.008877959102392197,0.09422292560338974,20.516868486194216,0.4775361120700836,0.5224639177322388,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.06554951518774033,0.15693239569664003
