iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,30,34,0.04015995189547539,0.003206650959327817,0.0566272996366024,24.93948261993479,0.764124870300293,0.23587512969970703,0.3836756646633148,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.03080717660486698,0.071820767223835
2,33,31,0.03080717660486698,0.002293573459610343,0.04789126664400101,26.394873206628134,0.8289003968238831,0.17109960317611694,0.2593993544578552,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.024728186428546906,0.05400246977806092
3,37,27,0.024728186428546906,0.0018985453061759472,0.04357229918241501,27.215790863875394,0.8596959114074707,0.1403040885925293,0.2068844586610794,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.021457264199852943,0.04522662907838822
4,39,25,0.021457264199852943,0.0015571517869830132,0.039460763335227966,28.07669082536227,0.8807728886604309,0.11922711133956909,0.1672966480255127,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.01904340274631977,0.039080144464969636
5,40,24,0.01904340274631977,0.0013020964106544852,0.03608457371592522,28.853568240843614,0.8966255187988281,0.10337448120117188,0.1403445154428482,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.016840821132063866,0.03414755314588547
6,42,22,0.016840821132063866,0.0010924757225438952,0.03305261954665184,29.615882255286575,0.9075716137886047,0.09242838621139526,0.11605135351419449,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.015136667527258396,0.030595011264085772
7,45,19,0.015136667527258396,0.0008603536989539862,0.029331786558032036,30.653229454970038,0.9227402806282043,0.07725971937179565,0.09148873388767242,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.01293648686259985,0.02580113336443901
8,45,19,0.01293648686259985,0.0007187681621871889,0.026809852570295334,31.434111744512844,0.9306468367576599,0.06935316324234009,0.078877754509449,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.011704442091286182,0.023234186321496965
9,47,17,0.011704442091286182,0.0006285688723437488,0.0250712763518095,32.01647136361291,0.9370682239532471,0.06293177604675293,0.07146406173706055,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.010699526406824589,0.02114597633481026
10,47,17,0.010699526406824589,0.0005190962110646069,0.022783683612942696,32.84752109554179,0.9450888633728027,0.054911136627197266,0.06196640431880951,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.009500465355813503,0.018582599610090258
11,46,18,0.009500465355813503,0.00045006946311332285,0.021214840933680534,33.467204188404025,0.9508606791496277,0.049139320850372314,0.0546407476067543,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.00860955473035574,0.016715507954359055
12,47,17,0.00860955473035574,0.0003830601635854691,0.019571922719478607,34.16732950482024,0.9556149840354919,0.04438501596450806,0.04846395552158356,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.00784161314368248,0.015150293707847595
13,45,19,0.00784161314368248,0.00031681160908192396,0.017799202352762222,34.99198930167965,0.9621865153312683,0.03781348466873169,0.04360106587409973,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.006886263843625784,0.013071708008646966
14,45,19,0.006886263843625784,0.00026921459357254207,0.016407759860157967,35.699013896988234,0.9655382037162781,0.034461796283721924,0.03858266770839691,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.006255017127841711,0.011896372959017755
