iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,29,35,0.04895716533064842,0.0042545730248093605,0.06522709131240845,23.711440371830065,0.5997697710990906,0.4002302289009094,0.505410373210907,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.040519144386053085,0.11246136128902436
2,30,34,0.040519144386053085,0.0035343181807547808,0.05945013090968132,24.516943876979997,0.678309440612793,0.32169055938720703,0.3924661874771118,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.034830980002880096,0.09220289587974549
3,30,34,0.034830980002880096,0.003014900488778949,0.054908107966184616,25.207269762923787,0.7256953120231628,0.27430468797683716,0.3136734664440155,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.03126830607652664,0.07987558245658875
4,31,33,0.03126830607652664,0.00258581037633121,0.05085086449980736,25.874033186180544,0.7686507701873779,0.23134922981262207,0.24665677547454834,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.028197595849633217,0.06882792264223099
5,32,32,0.028197595849633217,0.0023448506835848093,0.048423659056425095,26.2988477931034,0.7931249141693115,0.20687508583068848,0.212301105260849,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.02623114176094532,0.06235993057489396
6,32,32,0.02623114176094532,0.00208684173412621,0.04568196460604668,26.805104348268365,0.8187220692634583,0.18127793073654175,0.18092404305934906,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.024055115878582,0.055499678850173956
7,33,31,0.024055115878582,0.0018534166738390923,0.04305132478475571,27.320269830494684,0.8363772034645081,0.16362279653549194,0.15799951553344727,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.022219009697437286,0.05049976706504822
8,34,30,0.022219009697437286,0.001679826877079904,0.04098569229245186,27.74735465315951,0.8514564037322998,0.1485435962677002,0.13749071955680847,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.0207440834492445,0.046303986012935644
9,34,30,0.0207440834492445,0.0014742333441972733,0.03839574754238129,28.31433781849398,0.868267834186554,0.13173216581344604,0.12151284515857697,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.01875920407474041,0.04135379642248154
10,34,30,0.01875920407474041,0.0012920923763886094,0.03594568744301796,28.88706463611679,0.8811044692993164,0.1188955307006836,0.1053699404001236,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.017163703218102455,0.037510068714618684
11,35,29,0.017163703218102455,0.0011716956505551934,0.03423003852367401,29.311851628879275,0.8926352858543396,0.1073647141456604,0.0934608206152916,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.01586187817156315,0.034162445366382604
12,35,29,0.01586187817156315,0.001028861734084785,0.032075874507427216,29.876429879752116,0.9071998000144958,0.09280019998550415,0.0825367346405983,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.01411000918596983,0.029848047345876694
13,33,31,0.01411000918596983,0.0009291520691476762,0.03048199601471424,30.319131999210228,0.9168128967285156,0.08318710327148438,0.07468035072088242,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.012930127792060375,0.026981522887945177
14,33,31,0.012930127792060375,0.0008513975772075355,0.029178718104958534,30.69867612307133,0.9244278073310852,0.0755721926689148,0.06652171909809113,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.012044217437505722,0.024749812483787537
