iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,38,26,0.05729430541396141,0.006174363661557436,0.07857711613178253,22.094077732635945,0.7120582461357117,0.28794175386428833,0.3874276280403137,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.04511043429374695,0.09367669820785524
2,41,23,0.04511043429374695,0.005032826215028763,0.07094241678714752,22.98188093627082,0.7877416610717773,0.21225833892822266,0.23164072632789612,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.03836888074874878,0.07314677238464357
3,45,19,0.03836888074874878,0.004319066647440195,0.0657196044921875,23.64610086775017,0.8275609016418457,0.1724390983581543,0.17588454484939575,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.033822301775217056,0.0615456610918045
4,48,16,0.033822301775217056,0.0037256476934999228,0.06103808432817459,24.28798224945448,0.8512929081916809,0.1487070918083191,0.1410447061061859,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.03029143251478672,0.0539745643734932
5,50,14,0.03029143251478672,0.003291552886366844,0.05737205594778061,24.825991644898412,0.8671092987060547,0.1328907012939453,0.12112408131361008,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.027650071308016777,0.04869819730520249
6,51,13,0.027650071308016777,0.0028024213388562202,0.05293790251016617,25.52466548693512,0.8798971772193909,0.12010282278060913,0.10517379641532898,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.02498476766049862,0.04400837868452072
7,52,12,0.02498476766049862,0.002542744157835841,0.05042563006281853,25.946973105171804,0.8897461891174316,0.11025381088256836,0.09409300982952118,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.023361163213849068,0.040739692747592926
8,53,11,0.023361163213849068,0.0022942384239286184,0.04789821058511734,26.393614145657757,0.8998801112174988,0.10011988878250122,0.07810582220554352,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.02165818400681019,0.0373505249619484
9,55,9,0.02165818400681019,0.0021186049561947584,0.04602830484509468,26.739500305151523,0.9058586955070496,0.09414130449295044,0.06887175142765045,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.020578058436512947,0.03529070764780045
10,56,8,0.020578058436512947,0.001900691888295114,0.04359692707657814,27.21088253896079,0.9118519425392151,0.08814805746078491,0.06093389540910721,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.01848749630153179,0.03241960853338242
11,57,7,0.01848749630153179,0.0017256328137591481,0.04154073819518089,27.63051598475021,0.9168779850006104,0.08312201499938965,0.05639375001192093,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.017020322382450104,0.030240660905838015
12,57,7,0.017020322382450104,0.0015608990797773004,0.039508216083049774,28.06625151511134,0.9236161112785339,0.07638388872146606,0.05064428970217705,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.015541142784059048,0.027709691971540454
13,57,7,0.015541142784059048,0.0014213169924914837,0.037700358778238297,28.473090564434813,0.9274021983146667,0.07259780168533325,0.04682592302560806,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.014644715003669262,0.02623533234000206
14,57,7,0.014644715003669262,0.001309557817876339,0.03618781268596649,28.828752755770925,0.9323180317878723,0.06768196821212769,0.042551882565021515,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.01364478562027216,0.024452222138643266
