image,n_init,n_gaussians_final,n_iterations,total_time,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim01.png,128,1024,14,58.72389602661133,19.401711971867943,0.26671966910362244,0.001761446357704699,0.04196958988904953,27.541305496626272,0.8927454948425293,0.1072545051574707,0.0692870169878006,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.021137496456503868,0.03836089819669723
kodim02.png,128,1024,14,70.858726978302,25.376253993816363,0.6632290482521057,0.00030878762481734157,0.017572354525327682,35.10340131494077,0.9715034365653992,0.02849656343460083,0.03765242546796799,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.004548919852823019,0.009338448569178582
kodim03.png,128,1024,14,52.832233905792236,23.045768775407463,0.664013147354126,0.0002631811366882175,0.016222858801484108,35.79745248026036,0.9737046360969543,0.026295363903045654,0.020713726058602333,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.005416132044047117,0.009591978415846825
kodim04.png,128,1024,14,48.538201093673706,22.20673607993025,0.5638157725334167,0.0002442565746605396,0.015628710389137268,36.12153755633559,0.9750280976295471,0.02497190237045288,0.02414650097489357,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.004797509405761957,0.008832387998700142
kodim05.png,128,1024,14,62.03944516181946,16.21324932445178,0.16352009773254395,0.0036667082458734512,0.06055334955453873,24.357236610894635,0.8554826378822327,0.14451736211776733,0.0935317873954773,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.03150465711951256,0.05410719811916352
kodim06.png,128,1024,14,55.02710199356079,22.100784922136754,0.4740072786808014,0.0007790633826516569,0.027911707758903503,31.084271616194428,0.9340726733207703,0.06592732667922974,0.05852383375167847,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.010960080660879612,0.02195352986454964
kodim07.png,128,1024,14,53.32329487800598,19.421526683780705,0.43686366081237793,0.0007605496211908758,0.027578063309192657,31.188724846364103,0.9586241841316223,0.041375815868377686,0.04513348639011383,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.010550356470048428,0.01671544834971428
kodim08.png,128,1024,14,58.532180070877075,15.060245800884498,0.2170398235321045,0.00322540570050478,0.05679265409708023,24.914155990644133,0.9059721827507019,0.0940278172492981,0.06681431829929352,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.02768571861088276,0.04095413833856583
kodim09.png,128,1024,14,61.53377413749695,20.68864069073023,0.6073095202445984,0.001309557817876339,0.03618781268596649,28.828752755770925,0.9323180317878723,0.06768196821212769,0.042551882565021515,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.01364478562027216,0.024452222138643266
kodim10.png,128,1024,14,57.26107907295227,21.773832432111494,0.576994001865387,0.0004114827897865325,0.02028503827750683,33.856482867845045,0.9618976712226868,0.03810232877731323,0.030839381739497185,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.007031114771962166,0.013245357573032381
kodim11.png,128,1024,14,64.4529242515564,21.040244522177503,0.49946293234825134,0.0007391701801680028,0.027187684550881386,31.31255624196268,0.9509537816047668,0.049046218395233154,0.03659544140100479,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.00986348558217287,0.017700032144784928
kodim12.png,128,1024,14,61.56974005699158,22.36575668676192,0.6621809005737305,0.00031323611619882286,0.01769847795367241,35.041281674955776,0.9645311236381531,0.035468876361846924,0.03522501140832901,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.006169651169329882,0.01202949620783329
kodim13.png,128,1024,14,59.21607208251953,18.723328266588034,0.2515179216861725,0.0024470000062137842,0.04946716129779816,26.11366015252832,0.8842083811759949,0.11579161882400513,0.13309842348098755,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.023848826065659523,0.04223738461732865
kodim14.png,128,1024,14,69.66061902046204,18.92541260096505,0.3285260796546936,0.001394864753820002,0.037347886711359024,28.554679330618825,0.9281198978424072,0.07188010215759277,0.06893972307443619,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.015020077116787434,0.0263920821249485
kodim15.png,128,1024,14,58.00714683532715,19.855222052083704,0.6357290148735046,0.00036386886495165527,0.01907534711062908,34.390551440245794,0.9705927968025208,0.029407203197479248,0.027674967423081398,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.005977304186671972,0.010663283988833427
kodim16.png,128,1024,14,47.525511026382446,25.162611828208156,0.5792210102081299,0.0003209957794751972,0.017916355282068253,34.93500669797812,0.9479236006736755,0.05207639932632446,0.057412296533584595,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.007282646372914314,0.016241396963596347
kodim17.png,128,1024,14,50.77915120124817,21.341741141932843,0.4679608643054962,0.0007196000660769641,0.02682536281645298,31.42908807129395,0.942230761051178,0.05776923894882202,0.046932853758335114,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.010167987085878849,0.019688237458467484
kodim18.png,128,1024,14,66.8165671825409,20.50161553961439,0.37091803550720215,0.0009583873325027525,0.03095783106982708,30.184589726844415,0.9296412467956543,0.0703587532043457,0.06478992849588394,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.01219936553388834,0.023831243067979815
kodim19.png,128,1024,14,57.542503118515015,19.93747413541797,0.49954548478126526,0.00104186637327075,0.03227795660495758,29.821879601212785,0.9345149993896484,0.06548500061035156,0.053984127938747406,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.012675314210355282,0.02323725149035454
kodim20.png,128,1024,14,60.57595181465149,20.116838834817518,0.6733145713806152,0.00014644856855738908,0.012101593427360058,38.34314849209014,0.9865161776542664,0.013483822345733643,0.007651598192751408,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.002618149621412158,0.004791284166276455
kodim21.png,128,1024,14,63.0502028465271,20.211691841508213,0.5395776629447937,0.0006739212549291551,0.02595999278128147,31.713908605333376,0.965362012386322,0.03463798761367798,0.038825199007987976,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.00832121167331934,0.013584566861391069
kodim22.png,128,1024,14,65.51743578910828,21.854801832729432,0.4674340784549713,0.0005149347125552595,0.022692173719406128,32.882478127989394,0.9489782452583313,0.0510217547416687,0.047817669808864594,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.00847772415727377,0.016986530274152756
kodim23.png,128,1024,14,64.57078719139099,20.10030603004378,0.6204483509063721,0.00012010722275590524,0.010959343984723091,39.20430904578936,0.9940680861473083,0.00593191385269165,0.007047462277114391,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.0018490423681214452,0.0026656166650354863
kodim24.png,128,1024,14,65.39700818061829,19.531897527365793,0.37035003304481506,0.0007485605892725289,0.02735983580350876,31.257729721742194,0.9525696635246277,0.047430336475372314,0.04794858768582344,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.010703624226152897,0.018048966675996782
