-,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,24.523714839844917,0.06270055271064241,0.6758930856982867,0.4091387304166953,9.765625,2.4576,1067.1251655022304
std,2.881389709269569,0.02188421116742241,0.13141911001482426,0.13934672048764712,0.0,0.0,149.49525880536564
min,18.543147714619327,0.03478531539440155,0.40814653038978577,0.20547056198120117,9.765625,2.4576,864.4959230422974
25%,22.697060659211665,0.046831103041768074,0.576832115650177,0.3170275166630745,9.765625,2.4576,945.3425850272179
50%,24.713045008478417,0.058133700862526894,0.6787302792072296,0.43408477306365967,9.765625,2.4576,1052.6479077339172
75%,26.589462985573732,0.07330808416008949,0.7828473448753357,0.47060906141996384,9.765625,2.4576,1135.5617440342903
max,29.172081316337835,0.11826129257678986,0.8519315719604492,0.7808387875556946,9.765625,2.4576,1440.2882177829742
