,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,8.506160421043935,0.38368413348992664,0.10525740714122851,-1.0,1.125,21.333333333333332,187.37123689055443
std,1.7994612492505893,0.08538421841973953,0.027128286741662063,0.0,0.0,0.0,10.60158248290147
min,3.705452329473147,0.24974897503852844,0.05574238300323486,-1.0,1.125,21.333333333333332,163.99983406066895
25%,7.801568418822544,0.3403182029724121,0.08360649272799492,-1.0,1.125,21.333333333333332,182.19338130950928
50%,8.455126371249165,0.3777872771024704,0.10484275594353676,-1.0,1.125,21.333333333333332,187.1709784269333
75%,9.36326858875941,0.4075929597020149,0.11813506670296192,-1.0,1.125,21.333333333333332,192.53394258022308
max,12.04992558186332,0.6527206301689148,0.17315292358398438,-1.0,1.125,21.333333333333332,216.74801206588745
