tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,16,16,7,17.441559527792545,13.550846057578259,64,64
1,0,64,64,128,16,16,7,17.29653752852932,15.394339713989513,64,64
2,0,128,64,192,16,16,7,20.663711323031325,20.482508717036396,64,64
3,0,192,64,256,16,16,7,17.546078275928018,16.316654112774692,64,64
4,64,0,128,64,16,16,7,20.879684691896916,10.416483171433564,64,64
5,64,64,128,128,16,16,7,14.714754980648152,10.932375598562338,64,64
6,64,128,128,192,16,16,7,18.460805738165604,17.98499628232763,64,64
7,64,192,128,256,16,16,7,15.353939964404661,16.97813995829677,64,64
8,128,0,192,64,16,16,7,17.34026138950301,11.530488511561245,64,64
9,128,64,192,128,16,16,7,16.42593395342181,13.406966907758594,64,64
10,128,128,192,192,16,16,7,24.46207299025502,25.19177154385851,64,64
11,128,192,192,256,16,16,7,15.956765860062491,14.921861893861415,64,64
12,192,0,256,64,16,16,7,17.85653747838745,13.689383591107738,64,64
13,192,64,256,128,16,16,7,20.362166567362756,21.0617714787773,64,64
14,192,128,256,192,16,16,7,23.20788659997823,22.567702712246227,64,64
15,192,192,256,256,16,16,7,14.607254706754503,15.858918502663403,64,64
