,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,7.983092055562906,0.407040785998106,0.06839933712035418,-1.0,0.5625,42.666666666666664,236.83686901132265
std,1.7562413182788645,0.0875625287862203,0.01939212035484789,0.0,0.0,0.0,16.73442849093386
min,3.4137520715999847,0.26522010564804077,0.03225391358137131,-1.0,0.5625,42.666666666666664,194.30693411827087
25%,7.109290765955414,0.35990264266729355,0.05521853733807802,-1.0,0.5625,42.666666666666664,235.52217984199524
50%,8.0707314261761,0.3949235528707504,0.0692005343735218,-1.0,0.5625,42.666666666666664,240.9176857471466
75%,8.878026085226148,0.44128743559122086,0.07800998166203499,-1.0,0.5625,42.666666666666664,247.56295734643936
max,11.52787135004708,0.6750133633613586,0.1174146756529808,-1.0,0.5625,42.666666666666664,257.01061487197876
