iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,8,8,0.07235334068536758,8.170572916666666,0.011554737575352192,0.10749296844005585,19.372399025717954,0.5140233635902405,0.4859766364097595,-1.0,48,0.2109375,113.77777777777777,0.00164794921875,1572864,13824,fp32,288,0.06850755959749222,0.15200137495994567
2,7,9,0.06850755959749222,22.059122721354168,0.022244779393076897,0.14914683997631073,16.52771901538113,0.5077489018440247,0.49225109815597534,-1.0,64,0.28125,85.33333333333333,0.002197265625,1572864,18432,fp32,288,0.10027597099542618,0.17867099642753603
3,2,14,0.10027597099542618,9.686279296875,0.016018612310290337,0.1265646517276764,17.95375091686636,0.514393150806427,0.485606849193573,-1.0,80,0.3515625,68.26666666666667,0.00274658203125,1572864,23040,fp32,288,0.08632510900497437,0.1661814570426941
4,3,13,0.08632510900497437,5.745442708333333,0.013708493672311306,0.11708327382802963,18.630102718821277,0.5135542750358582,0.48644572496414185,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.08017957210540771,0.16143280267715454
5,3,13,0.08017957210540771,6.974283854166667,0.016908103600144386,0.13003116846084595,17.71905107050155,0.5119938254356384,0.4880061745643616,-1.0,112,0.4921875,48.76190476190476,0.00384521484375,1572864,32256,fp32,288,0.09213908761739731,0.17131250500679018
6,3,13,0.09213908761739731,5.65948486328125,0.014628098346292973,0.12094667553901672,18.348121213530348,0.5090555548667908,0.49094444513320923,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08544836193323135,0.16654757857322694
7,4,12,0.08544836193323135,7.11669921875,0.017083393409848213,0.13070344924926758,17.674258465967178,0.5059745907783508,0.49402540922164917,-1.0,144,0.6328125,37.925925925925924,0.00494384765625,1572864,41472,fp32,288,0.0923532024025917,0.17268764376640322
8,3,13,0.0923532024025917,9.76409912109375,0.014550232328474522,0.12062434107065201,18.37130066892978,0.5043542981147766,0.4956457018852234,-1.0,160,0.703125,34.13333333333333,0.0054931640625,1572864,46080,fp32,288,0.08713462203741074,0.16883683800697327
9,4,12,0.08713462203741074,7.38372802734375,0.017078610137104988,0.13068515062332153,17.67547460670833,0.5008227229118347,0.4991772770881653,-1.0,176,0.7734375,31.03030303030303,0.00604248046875,1572864,50688,fp32,288,0.09278518706560135,0.17406360507011415
10,3,13,0.09278518706560135,5.074564615885417,0.018828056752681732,0.13721536099910736,17.25194504237693,0.5021543502807617,0.4978456497192383,-1.0,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.09639930725097656,0.17668857574462893
11,3,13,0.09639930725097656,6.241861979166667,0.021399935707449913,0.14628717303276062,16.695875881234716,0.4966658055782318,0.5033341646194458,-1.0,208,0.9140625,26.256410256410255,0.00714111328125,1572864,59904,fp32,288,0.10498637706041336,0.18465593457221985
12,2,14,0.10498637706041336,5.94329833984375,0.023420095443725586,0.15303625166416168,16.30411313422526,0.49731436371803284,0.5026856660842896,-1.0,224,0.984375,24.38095238095238,0.0076904296875,1572864,64512,fp32,288,0.11180132627487183,0.18997819423675538
13,2,14,0.11180132627487183,6.7718505859375,0.017365889623761177,0.13177970051765442,17.60302958831676,0.5029813647270203,0.49701863527297974,-1.0,240,1.0546875,22.755555555555556,0.00823974609375,1572864,69120,fp32,288,0.0953390896320343,0.1756749987602234
14,3,13,0.0953390896320343,8.09326171875,0.014565416611731052,0.12068726867437363,18.36677097096137,0.5047106146812439,0.4952893853187561,-1.0,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.08504649251699448,0.1670950710773468
