image,variant,fit_time,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian
kodim01.png,minibatch,51.702659130096436,0.008209350518882275,0.0906054675579071,20.856911958579047,0.35220810770988464,0.647791862487793,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim02.png,minibatch,38.119651317596436,0.00208994816057384,0.045715950429439545,26.79864481536861,0.7029083371162415,0.29709166288375854,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim03.png,minibatch,42.8418493270874,0.0024133899714797735,0.049126267433166504,26.173725262809192,0.772122859954834,0.22787714004516602,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim04.png,minibatch,42.46972441673279,0.003546149702742696,0.05954955518245697,24.50242933474756,0.6720223426818848,0.32797765731811523,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim05.png,minibatch,38.12405705451965,0.017992770299315453,0.1341371387243271,17.449019478190852,0.26993027329444885,0.7300697565078735,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim06.png,minibatch,41.05341076850891,0.005068264435976744,0.07119174301624298,22.95140726778691,0.521695077419281,0.478304922580719,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim07.png,minibatch,47.9342725276947,0.007190849166363478,0.08479887247085571,21.43219838275033,0.5570395588874817,0.4429604411125183,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim08.png,minibatch,34.19977307319641,0.022230073809623718,0.1490975320339203,16.53059091486942,0.32534560561180115,0.6746543645858765,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim09.png,minibatch,41.74089026451111,0.004803428426384926,0.06930676847696304,23.184486773947455,0.7145123481750488,0.28548765182495117,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim10.png,minibatch,50.03347992897034,0.00412082439288497,0.06419365108013153,23.850159504927646,0.6802971959114075,0.31970280408859253,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim11.png,minibatch,47.684791803359985,0.00563743757084012,0.07508286833763123,22.48918219505173,0.5650665760040283,0.4349334239959717,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim12.png,minibatch,35.350666522979736,0.003291522152721882,0.05737178772687912,24.826032171779516,0.7313489317893982,0.2686510682106018,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim13.png,minibatch,50.48461866378784,0.010806583799421787,0.10395471751689911,19.66311573480234,0.3185645341873169,0.6814354658126831,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim14.png,minibatch,48.08674335479736,0.008916107006371021,0.09442514181137085,20.49824716191126,0.42192187905311584,0.5780781507492065,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim15.png,minibatch,50.87610960006714,0.004751531407237053,0.06893135607242584,23.231664287311776,0.7555645108222961,0.24443548917770386,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim16.png,minibatch,45.74890470504761,0.0020759401377290487,0.045562487095594406,26.82785192399846,0.6403264999389648,0.35967350006103516,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim17.png,minibatch,36.20253348350525,0.004965633153915405,0.07046724855899811,23.040253665730784,0.5857835412025452,0.41421645879745483,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim18.png,minibatch,63.21089172363281,0.00676081283017993,0.08222416043281555,21.700010993240156,0.4590481221675873,0.5409518480300903,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim19.png,minibatch,38.703712701797485,0.007625047583132982,0.08732151985168457,21.177574561821633,0.5872742533683777,0.4127257466316223,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim20.png,minibatch,53.07369589805603,0.00649398984387517,0.0805852934718132,21.874883887463994,0.7545356750488281,0.24546432495117188,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim21.png,minibatch,45.13217902183533,0.007288606837391853,0.08537333458662033,21.373555058417445,0.6052315831184387,0.3947684168815613,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim22.png,minibatch,37.876158237457275,0.003815774107351899,0.061771951615810394,24.184173275072403,0.5579884648323059,0.4420115351676941,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim23.png,minibatch,35.57493543624878,0.004084897227585316,0.06391320377588272,23.888188702462152,0.7604320645332336,0.23956793546676636,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
kodim24.png,minibatch,44.88342547416687,0.007933343760669231,0.08906932175159454,21.005437155258228,0.4892016351222992,0.5107983350753784,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288
