iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,17,15,0.08618801087141037,14.837137858072916,0.01460699737071991,0.12085941433906555,18.35439028256177,0.5850955843925476,0.4149044156074524,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.0809406042098999,0.14773336648941043
2,17,15,0.0809406042098999,12.056986490885416,0.01364185195416212,0.11679834127426147,18.651267023724508,0.5901185274124146,0.40988147258758545,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08032011985778809,0.14623239040374758
3,17,15,0.08032011985778809,9.9029541015625,0.011496066115796566,0.10721971094608307,19.394507698923043,0.5941706895828247,0.4058293104171753,-1.0,160,0.703125,34.13333333333333,0.0054931640625,1572864,46080,fp32,288,0.07202199101448059,0.13878345489501953
4,17,15,0.07202199101448059,10.237630208333334,0.010614973492920399,0.10302899032831192,19.74081112170908,0.5965251922607422,0.4034748077392578,-1.0,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.06998386234045029,0.13668205142021178
5,17,15,0.06998386234045029,12.02545166015625,0.012810113839805126,0.11318176984786987,18.924470662033322,0.5900372862815857,0.4099627137184143,-1.0,224,0.984375,24.38095238095238,0.0076904296875,1572864,64512,fp32,288,0.07949530333280563,0.14558878540992737
6,14,18,0.07949530333280563,8.098347981770834,0.012773576192557812,0.11302024871110916,18.936875372666037,0.5914784073829651,0.4085215926170349,-1.0,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.08311902731657028,0.14819954037666322
7,15,17,0.08311902731657028,8.533223470052084,0.011428415775299072,0.10690376907587051,19.42013946904406,0.5864408612251282,0.4135591387748718,-1.0,288,1.265625,18.962962962962962,0.0098876953125,1572864,82944,fp32,288,0.07589784264564514,0.1434301018714905
8,15,17,0.07589784264564514,9.719340006510416,0.011266517452895641,0.10614385455846786,19.48210347180673,0.5844152569770813,0.4155847430229187,-1.0,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.0751461386680603,0.14323385953903198
9,16,16,0.0751461386680603,12.549845377604166,0.013198244385421276,0.11488360911607742,18.79483864300694,0.5756275653839111,0.42437243461608887,-1.0,352,1.546875,15.515151515151516,0.0120849609375,1572864,101376,fp32,288,0.08164774626493454,0.1501926839351654
10,13,19,0.08164774626493454,10.956319173177084,0.012182856909930706,0.11037597805261612,19.14250889717401,0.5828672051429749,0.41713279485702515,-1.0,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.07911289483308792,0.14671687483787538
11,13,19,0.07911289483308792,7.155863444010417,0.011343852616846561,0.10650752484798431,19.452393997968738,0.5880046486854553,0.4119953513145447,-1.0,416,1.828125,13.128205128205128,0.0142822265625,1572864,119808,fp32,288,0.07900447398424149,0.14560264945030213
12,14,18,0.07900447398424149,10.600789388020834,0.01223205029964447,0.1105986014008522,19.12500743279844,0.5892648100852966,0.41073518991470337,-1.0,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.07916047424077988,0.14547541737556458
13,12,20,0.07916047424077988,7.3455810546875,0.01147599145770073,0.10712605714797974,19.402097657771947,0.5886178612709045,0.41138213872909546,-1.0,480,2.109375,11.377777777777778,0.0164794921875,1572864,138240,fp32,288,0.07639545202255249,0.1433927893638611
14,12,20,0.07639545202255249,7.24945068359375,0.01089001726359129,0.10435524582862854,19.629714138044307,0.583337128162384,0.41666287183761597,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.07469316571950912,0.1430871069431305
