iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,17,15,0.06017492339015007,11.443074544270834,0.007202861364930868,0.08486967533826828,21.424949725354708,0.5239710211753845,0.4760289788246155,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.057946622371673584,0.14156309366226197
2,16,16,0.057946622371673584,8.655802408854166,0.0069402121007442474,0.08330793678760529,21.58627298692987,0.5275656580924988,0.4724343419075012,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.05744105204939842,0.140439710021019
3,16,16,0.05744105204939842,7.964579264322917,0.006985554937273264,0.08357962965965271,21.55799061912465,0.5303875207901001,0.4696124792098999,-1.0,160,0.703125,34.13333333333333,0.0054931640625,1572864,46080,fp32,288,0.05835406109690666,0.14060574471950532
4,18,14,0.05835406109690666,8.671061197916666,0.006997943390160799,0.08365371078252792,21.550295378749475,0.5299749970436096,0.4700250029563904,-1.0,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.05832311883568764,0.1406634956598282
5,17,15,0.05832311883568764,6.905110677083333,0.00711795873939991,0.08436799794435501,21.476445574755132,0.5285840630531311,0.4714159369468689,-1.0,224,0.984375,24.38095238095238,0.0076904296875,1572864,64512,fp32,288,0.05818834900856018,0.14083386659622193
6,17,15,0.05818834900856018,8.079020182291666,0.007083341479301453,0.08416259288787842,21.497618103662756,0.5338804721832275,0.46611952781677246,-1.0,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.05826030299067497,0.1398321479558945
7,17,15,0.05826030299067497,5.881754557291667,0.006829604506492615,0.08264142274856567,21.656044225964727,0.5353788137435913,0.4646211862564087,-1.0,288,1.265625,18.962962962962962,0.0098876953125,1572864,82944,fp32,288,0.057239145040512085,0.1387155532836914
8,17,15,0.057239145040512085,7.446797688802083,0.006983230356127024,0.08356572687625885,21.5594361777759,0.5385302901268005,0.46146970987319946,-1.0,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.057337477803230286,0.13816392421722412
9,15,17,0.057337477803230286,6.8817138671875,0.006705207284539938,0.08188533037900925,21.735877926963024,0.5411924123764038,0.4588075876235962,-1.0,352,1.546875,15.515151515151516,0.0120849609375,1572864,101376,fp32,288,0.056760791689157486,0.13717015087604523
10,15,17,0.056760791689157486,11.03973388671875,0.007051127031445503,0.08397098630666733,21.51741465474028,0.5392693877220154,0.4607306122779846,-1.0,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.05810245871543884,0.13862808942794802
11,16,16,0.05810245871543884,8.382161458333334,0.006583126727491617,0.08113647252321243,21.81567787951176,0.5431190133094788,0.45688098669052124,-1.0,416,1.828125,13.128205128205128,0.0142822265625,1572864,119808,fp32,288,0.05663948133587837,0.13668778240680696
12,16,16,0.05663948133587837,8.880106608072916,0.006356842815876007,0.07972981035709381,21.96758582536605,0.5452234148979187,0.4547765851020813,-1.0,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.05509268864989281,0.1350294679403305
13,16,16,0.05509268864989281,7.94677734375,0.006637291517108679,0.0814695730805397,21.780091518387053,0.5451779961585999,0.45482200384140015,-1.0,480,2.109375,11.377777777777778,0.0164794921875,1572864,138240,fp32,288,0.0560307502746582,0.13578900098800661
14,14,18,0.0560307502746582,7.347615559895833,0.006353655364364386,0.07970982044935226,21.969763727811568,0.5476589798927307,0.4523410201072693,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.05501377955079079,0.1344792276620865
