image,n_init,n_gaussians_final,n_iterations,total_time,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim01.png,32,256,14,45.59776520729065,17.202975277911737,0.2448612004518509,0.003992818295955658,0.06318875402212143,23.987205186998473,0.8452911972999573,0.15470880270004272,0.1684783697128296,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.03451113402843475,0.05855066776275635
kodim02.png,32,256,14,50.78445792198181,21.177323997251957,0.5828731656074524,0.0014081713743507862,0.03752560913562775,28.513443838164637,0.8988142013549805,0.10118579864501953,0.11501094698905945,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.017996227368712425,0.03463414162397385
kodim03.png,32,256,14,42.40501689910889,19.54910218609623,0.6594119668006897,0.0011523142457008362,0.033945754170417786,29.38428999246748,0.9264686107635498,0.0735313892364502,0.11418405175209045,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.014549304731190205,0.026345721632242206
kodim04.png,32,256,14,49.391135931015015,19.60477518647259,0.542469322681427,0.000835165788885206,0.028899235650897026,30.782274124323827,0.9428706169128418,0.0571293830871582,0.07769116014242172,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.009794685989618301,0.019261625409126286
kodim05.png,32,256,14,54.513551235198975,14.927528355847075,0.21921777725219727,0.010827538557350636,0.10405545681715012,19.654702057601078,0.7098596096038818,0.29014039039611816,0.20670107007026672,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.06469510495662689,0.10978416204452515
kodim06.png,32,256,14,49.438899993896484,19.626833917724078,0.42082080245018005,0.001697361352853477,0.04119904711842537,27.702256846415416,0.9069435000419617,0.09305649995803833,0.09716136753559113,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.016797207295894623,0.03204906582832336
kodim07.png,32,256,14,46.515191078186035,17.84364620815033,0.5143276453018188,0.002887367270886898,0.053734228014945984,25.394979553245086,0.8885816931724548,0.11141830682754517,0.13292478024959564,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.02693749964237213,0.04383366107940674
kodim08.png,32,256,14,60.8128399848938,13.550278238283566,0.21669292449951172,0.00923221092671156,0.09608439356088638,20.346943554618903,0.8090125918388367,0.19098740816116333,0.1510491967201233,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.053751930594444275,0.08119902610778809
kodim09.png,32,256,14,58.10637593269348,17.598248286002008,0.6241974830627441,0.004420463461428881,0.06648656725883484,23.545321830113682,0.896847665309906,0.103152334690094,0.2089904397726059,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.03868215158581734,0.051576188206672674
kodim10.png,32,256,14,47.26037359237671,18.541067937569316,0.5874605178833008,0.0017930141184478998,0.042343996465206146,27.464163212711984,0.9294942021369934,0.07050579786300659,0.09741069376468658,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.014895950444042683,0.026017919927835465
