iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,28,36,0.05028124153614044,0.005866335239261389,0.07659200578927994,22.316331488811482,0.7431766390800476,0.2568233609199524,0.34483104944229126,192,0.140625,170.66666666666666,0.006591796875,9437184,55296,fp32,288,0.03896547853946686,0.08253705501556396
2,31,33,0.03896547853946686,0.004512517713010311,0.06717527657747269,23.45581052443452,0.7923277020454407,0.20767229795455933,0.25580012798309326,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.03215065971016884,0.06725498735904695
3,30,34,0.03215065971016884,0.003465468529611826,0.058868229389190674,24.602380680429334,0.8273958563804626,0.17260414361953735,0.19368049502372742,320,0.234375,102.4,0.010986328125,9437184,92160,fp32,288,0.027063583955168724,0.05617169588804245
4,31,33,0.027063583955168724,0.0027452646754682064,0.05239527300000191,25.614158377457482,0.8614664077758789,0.1385335922241211,0.1512628048658371,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.022578125819563866,0.045769219100475315
5,33,31,0.022578125819563866,0.002273427788168192,0.04768047481775284,26.433188286265015,0.8810887932777405,0.11891120672225952,0.12696346640586853,448,0.328125,73.14285714285714,0.015380859375,9437184,129024,fp32,288,0.019637756049633026,0.03949244618415833
6,32,32,0.019637756049633026,0.0018743479158729315,0.04329374060034752,27.271499013641964,0.9030614495277405,0.09693855047225952,0.10624478757381439,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.016643209382891655,0.03270227760076523
7,36,28,0.016643209382891655,0.0016334152314811945,0.040415532886981964,27.869034478114397,0.9145745635032654,0.08542543649673462,0.09208829700946808,576,0.421875,56.888888888888886,0.019775390625,9437184,165888,fp32,288,0.014898048713803291,0.02900352627038956
8,36,28,0.014898048713803291,0.0014085243456065655,0.037530314177274704,28.51235607528832,0.9289679527282715,0.07103204727172852,0.0793234258890152,640,0.46875,51.2,0.02197265625,9437184,184320,fp32,288,0.012873071245849133,0.02450486645102501
9,38,26,0.012873071245849133,0.0011102124117314816,0.03331984952092171,29.545938655850197,0.9397973418235779,0.06020265817642212,0.06651908159255981,704,0.515625,46.54545454545455,0.024169921875,9437184,202752,fp32,288,0.010942280292510986,0.020794355869293214
10,36,28,0.010942280292510986,0.0009344872087240219,0.03056938387453556,30.294266583473394,0.9463179707527161,0.053682029247283936,0.05825464054942131,768,0.5625,42.666666666666664,0.0263671875,9437184,221184,fp32,288,0.009723871946334839,0.018515503406524657
11,35,29,0.009723871946334839,0.0008268567034974694,0.02875511534512043,30.825696689219917,0.9519719481468201,0.04802805185317993,0.052168358117341995,832,0.609375,39.38461538461539,0.028564453125,9437184,239616,fp32,288,0.008774485439062119,0.016625198721885684
12,36,28,0.008774485439062119,0.000724984856788069,0.026925543323159218,31.396710215696565,0.9562472701072693,0.04375272989273071,0.04684220254421234,896,0.65625,36.57142857142857,0.03076171875,9437184,258048,fp32,288,0.008028927259147167,0.015173687785863877
13,37,27,0.008028927259147167,0.00049865513574332,0.02233058772981167,33.021998029821866,0.9657831192016602,0.034216880798339844,0.03565633296966553,960,0.703125,34.13333333333333,0.032958984375,9437184,276480,fp32,288,0.006077670492231846,0.011705512553453446
14,29,35,0.006077670492231846,0.0003959700698032975,0.019898997619748116,34.0233762910745,0.9710004329681396,0.02899956703186035,0.03011363372206688,1024,0.75,32.0,0.03515625,9437184,294912,fp32,288,0.005074755754321814,0.009859718009829523
