iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,31,33,0.08379852771759033,0.010273126885294914,0.10135643184185028,19.882972787521528,0.5283389091491699,0.4716610908508301,0.5917239189147949,192,0.140625,170.66666666666666,0.006591796875,9437184,55296,fp32,288,0.07036885619163513,0.1506273031234741
2,31,33,0.07036885619163513,0.008383370004594326,0.0915607437491417,20.765814422027216,0.6185792088508606,0.3814207911491394,0.4304707944393158,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.06128091365098953,0.1253088891506195
3,29,35,0.06128091365098953,0.0073279719799757,0.08560357242822647,21.350161445858596,0.6726410984992981,0.3273589015007019,0.3507145643234253,320,0.234375,102.4,0.010986328125,9437184,92160,fp32,288,0.05550035089254379,0.10987206101417542
4,29,35,0.05550035089254379,0.0063288453966379166,0.07955404371023178,21.986754094584732,0.7252910733222961,0.27470892667770386,0.28713706135749817,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.049711041152477264,0.09471061825752258
5,26,38,0.049711041152477264,0.0053119901567697525,0.07288340479135513,22.747428401799414,0.7772707939147949,0.22272920608520508,0.23123398423194885,448,0.328125,73.14285714285714,0.015380859375,9437184,129024,fp32,288,0.042742859572172165,0.07874012887477876
6,29,35,0.042742859572172165,0.004638203885406256,0.06810435652732849,23.336502018019214,0.8043736815452576,0.19562631845474243,0.20218709111213684,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.03867478296160698,0.07006509006023406
7,27,37,0.03867478296160698,0.004169702995568514,0.06457323580980301,23.798947736847786,0.8222951292991638,0.17770487070083618,0.18414197862148285,576,0.421875,56.888888888888886,0.019775390625,9437184,165888,fp32,288,0.03547316789627075,0.06391950845718383
8,25,39,0.03547316789627075,0.0036613084375858307,0.06050874665379524,24.36363716143579,0.8415476679801941,0.1584523320198059,0.16179609298706055,640,0.46875,51.2,0.02197265625,9437184,184320,fp32,288,0.032372698187828064,0.057588624954223636
9,23,41,0.032372698187828064,0.003091807710006833,0.05560402572154999,25.09787435537447,0.8618619441986084,0.1381380558013916,0.14322498440742493,704,0.515625,46.54545454545455,0.024169921875,9437184,202752,fp32,288,0.028541330248117447,0.05046067535877228
10,23,41,0.028541330248117447,0.002684470498934388,0.05181187763810158,25.711413981125183,0.8759228587150574,0.12407714128494263,0.129905104637146,768,0.5625,42.666666666666664,0.0263671875,9437184,221184,fp32,288,0.025730513036251068,0.04539983868598939
11,22,42,0.025730513036251068,0.0024746486451476812,0.0497458390891552,26.06486532374641,0.8839411735534668,0.1160588264465332,0.12286561727523804,832,0.609375,39.38461538461539,0.028564453125,9437184,239616,fp32,288,0.024172749370336533,0.04254996478557587
12,21,43,0.024172749370336533,0.0022801444865763187,0.04775085672736168,26.4203768284328,0.891686737537384,0.10831326246261597,0.11519057303667068,896,0.65625,36.57142857142857,0.03076171875,9437184,258048,fp32,288,0.022774329409003258,0.0398821160197258
13,21,43,0.022774329409003258,0.0018985983915627003,0.043572910130023956,27.21566929367901,0.9060447216033936,0.09395527839660645,0.10168382525444031,960,0.703125,34.13333333333333,0.032958984375,9437184,276480,fp32,288,0.01998407393693924,0.03477831482887268
14,21,43,0.01998407393693924,0.0017271655378863215,0.04155918210744858,27.626661928761482,0.9132835268974304,0.08671647310256958,0.09423362463712692,1024,0.75,32.0,0.03515625,9437184,294912,fp32,288,0.01850515976548195,0.032147422432899475
