K,n,em_psnr,em_ssim,hybrid_psnr,hybrid_ssim,delta_psnr,tiled_psnr,tiled_ssim
128,24,20.88728425894846,0.49170514568686485,18.09297174838351,0.41248265840113163,-2.79431251056495,19.103547065353265,0.41838340523342293
256,24,21.912943750945832,0.5342276692390442,19.12006670684375,0.4326070478806893,-2.792877044102081,18.351781477007552,0.4173974624524514
512,24,22.994531100584265,0.5871626337369283,20.383080770364572,0.47049159991244477,-2.611450330219693,20.43889371248169,0.47741550641755265
1024,24,23.787256598813745,0.632339458912611,21.44727941160076,0.5208655601988236,-2.339977187212984,22.329293369164805,0.551635048041741
