iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,34,30,0.05666114017367363,13.945515950520834,0.008114536292850971,0.09008072316646576,20.907363154960855,0.5613377690315247,0.43866223096847534,-1.0,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.05515586957335472,0.13185714185237885
2,29,35,0.05515586957335472,9.75799560546875,0.007932960987091064,0.08906716853380203,21.005647238450095,0.571807324886322,0.428192675113678,-1.0,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.05522850155830383,0.12982133626937867
3,27,37,0.05522850155830383,9.453837076822916,0.00917244702577591,0.0957728922367096,20.375147924008875,0.5713374614715576,0.4286625385284424,-1.0,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.06040823087096214,0.1340590924024582
4,20,44,0.06040823087096214,12.6739501953125,0.013893862254917622,0.11787223070859909,18.571770092573768,0.569294273853302,0.430705726146698,-1.0,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.07550109177827835,0.14654201865196229
5,14,50,0.07550109177827835,9.035237630208334,0.010335725732147694,0.10166477411985397,19.85658995162784,0.5750448703765869,0.4249551296234131,-1.0,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.06469472497701645,0.1367468059062958
6,19,45,0.06469472497701645,11.873881022135416,0.009968307800590992,0.0998414158821106,20.013785397893876,0.5747395157814026,0.4252604842185974,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.06372880190610886,0.1360351383686066
7,17,47,0.06372880190610886,6.505330403645833,0.008885379880666733,0.09426229447126389,20.5132398397836,0.5764300227165222,0.4235699772834778,-1.0,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.059614475816488266,0.13240557610988618
8,21,43,0.059614475816488266,6.475321451822917,0.008314705453813076,0.09118500351905823,20.80153138473802,0.5762613415718079,0.42373865842819214,-1.0,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.05821368470788002,0.13131867945194245
9,22,42,0.05821368470788002,9.038798014322916,0.00946593564003706,0.09729304164648056,20.238364368215308,0.5740087628364563,0.4259912371635437,-1.0,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.06193525716662407,0.134746453166008
10,23,41,0.06193525716662407,8.0047607421875,0.008088069967925549,0.08993370085954666,20.921551344133537,0.5772648453712463,0.42273515462875366,-1.0,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.0576632134616375,0.13067760169506074
11,26,38,0.0576632134616375,9.80682373046875,0.008661746047437191,0.09306850284337997,20.623945433293407,0.5733191967010498,0.4266808032989502,-1.0,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.060783978551626205,0.13396334350109101
12,24,40,0.060783978551626205,6.402079264322917,0.008451827801764011,0.09193382412195206,20.730493298271067,0.5744431614875793,0.42555683851242065,-1.0,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.05969984829425812,0.13287124633789063
13,24,40,0.05969984829425812,7.174173990885417,0.008314430713653564,0.09118349850177765,20.801674620779444,0.5759809613227844,0.4240190386772156,-1.0,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.05934135243296623,0.1322768896818161
14,23,41,0.05934135243296623,12.323506673177084,0.010364375077188015,0.10180557519197464,19.84456894624789,0.5702552795410156,0.4297447204589844,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.06558024138212204,0.1384131371974945
