iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,31,33,0.06967052817344666,10.23406982421875,0.009682499803602695,0.09839969128370285,20.140124862174584,0.392047643661499,0.607952356338501,-1.0,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.07116524875164032,0.17852267026901247
2,32,32,0.07116524875164032,8.773295084635416,0.008792816661298275,0.09377001971006393,20.558719983421305,0.40373751521110535,0.5962624549865723,-1.0,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.06850109249353409,0.17405336499214175
3,30,34,0.06850109249353409,8.991495768229166,0.008503763936460018,0.09221585839986801,20.703888143929575,0.4091702997684479,0.5908297300338745,-1.0,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.06765362620353699,0.1722888469696045
4,31,33,0.06765362620353699,7.842000325520833,0.008433639071881771,0.09183484315872192,20.739850245864204,0.41036471724510193,0.5896352529525757,-1.0,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.06729980558156967,0.1717668950557709
5,31,33,0.06729980558156967,8.005777994791666,0.008424944244325161,0.09178749471902847,20.7443298259728,0.41221189498901367,0.5877881050109863,-1.0,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.06695789843797684,0.17112393975257875
6,31,33,0.06695789843797684,10.451761881510416,0.008666165173053741,0.09309224039316177,20.621730576527227,0.4113149344921112,0.5886850357055664,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.06797521561384201,0.1721171796321869
7,27,37,0.06797521561384201,8.072916666666666,0.008723046630620956,0.09339725226163864,20.593317990313793,0.4154846966266632,0.5845153331756592,-1.0,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.06789666414260864,0.17122039794921876
8,25,39,0.06789666414260864,6.863911946614583,0.008666065521538258,0.0930917039513588,20.62178055165639,0.41610798239707947,0.5838919878005981,-1.0,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.06847082078456879,0.17155505418777467
9,24,40,0.06847082078456879,7.082621256510417,0.008593402802944183,0.09270060807466507,20.658348170325972,0.41657140851020813,0.5834286212921143,-1.0,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.06806930899620056,0.17114117145538332
10,24,40,0.06806930899620056,7.731119791666667,0.00843935925513506,0.09186598658561707,20.73690510294555,0.4179677665233612,0.5820322036743164,-1.0,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.06748486310243607,0.17039433121681213
11,25,39,0.06748486310243607,8.095804850260416,0.00834276620298624,0.09133874624967575,20.786899342528386,0.41801342368125916,0.5819865465164185,-1.0,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.06721550971269608,0.17016971707344056
12,27,37,0.06721550971269608,7.648722330729167,0.0084676593542099,0.09201988577842712,20.72236622516605,0.4189857542514801,0.5810142755508423,-1.0,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.06722066551446915,0.1699793875217438
13,27,37,0.06722066551446915,8.82568359375,0.008270625956356525,0.09094297885894775,20.824616189634174,0.42094242572784424,0.5790575742721558,-1.0,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.06622106581926346,0.16878836750984194
14,29,35,0.06622106581926346,8.53729248046875,0.00890292227268219,0.09435530006885529,20.504674215340955,0.41768601536750793,0.5823140144348145,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.06869298964738846,0.17141719460487367
