iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,3,5,0.13272888958454132,5.306498209635417,0.027662718668580055,0.16632112860679626,15.581051348815024,0.1424848586320877,0.8575151562690735,-1.0,24,0.10546875,227.55555555555554,0.000823974609375,1572864,6912,fp32,288,0.129901722073555,0.27542440891265874
2,3,5,0.129901722073555,3.424072265625,0.027328575029969215,0.16531357169151306,15.63382977122082,0.14309418201446533,0.8569058179855347,-1.0,32,0.140625,170.66666666666666,0.0010986328125,1572864,9216,fp32,288,0.12856486439704895,0.2742330551147461
3,3,5,0.12856486439704895,4.51507568359375,0.02845044992864132,0.1686726063489914,15.459108883227408,0.141981840133667,0.858018159866333,-1.0,40,0.17578125,136.53333333333333,0.001373291015625,1572864,11520,fp32,288,0.1328560709953308,0.27788848876953126
4,3,5,0.1328560709953308,3.5186767578125,0.028632134199142456,0.16921032965183258,15.431462926880531,0.1427852362394333,0.8572147488594055,-1.0,48,0.2109375,113.77777777777777,0.00164794921875,1572864,13824,fp32,288,0.13406319916248322,0.2786935091018677
5,3,5,0.13406319916248322,2.2430419921875,0.027888163924217224,0.166997492313385,15.545800448204016,0.14377659559249878,0.8562234044075012,-1.0,56,0.24609375,97.52380952380952,0.001922607421875,1572864,16128,fp32,288,0.131572887301445,0.27650299072265627
6,3,5,0.131572887301445,5.639139811197917,0.02939462661743164,0.17144861817359924,15.317320302747714,0.143049955368042,0.856950044631958,-1.0,64,0.28125,85.33333333333333,0.002197265625,1572864,18432,fp32,288,0.135829895734787,0.2800539255142212
7,3,5,0.135829895734787,3.8838704427083335,0.028806572780013084,0.1697249859571457,15.405084067843244,0.14320224523544312,0.8567977547645569,-1.0,72,0.31640625,75.85185185185185,0.002471923828125,1572864,20736,fp32,288,0.13374635577201843,0.27835663557052615
8,3,5,0.13374635577201843,3.7353515625,0.02813565731048584,0.16773687303066254,15.507429368502056,0.14422081410884857,0.8557791709899902,-1.0,80,0.3515625,68.26666666666667,0.00274658203125,1572864,23040,fp32,288,0.1323348432779312,0.27702370882034305
9,3,5,0.1323348432779312,3.0436197916666665,0.02740415371954441,0.16554200649261475,15.62183570303464,0.1452075093984604,0.8547924757003784,-1.0,88,0.38671875,62.06060606060606,0.003021240234375,1572864,25344,fp32,288,0.12968553602695465,0.2747069239616394
10,3,5,0.12968553602695465,3.0446370442708335,0.02796398103237152,0.16722434759140015,15.534010254919075,0.1451767235994339,0.8548232913017273,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.13062989711761475,0.27546857595443724
11,3,5,0.13062989711761475,2.4495442708333335,0.02784462459385395,0.16686709225177765,15.552586190430908,0.14514793455600739,0.8548520803451538,-1.0,104,0.45703125,52.51282051282051,0.003570556640625,1572864,29952,fp32,288,0.13064341247081757,0.27548514604568486
12,3,5,0.13064341247081757,2.18353271484375,0.027531782165169716,0.16592703759670258,15.601656714764589,0.1458895206451416,0.8541104793548584,-1.0,112,0.4921875,48.76190476190476,0.00384521484375,1572864,32256,fp32,288,0.12923742830753326,0.2742120385169983
13,3,5,0.12923742830753326,2.7374267578125,0.027943531051278114,0.1671631932258606,15.53718732447523,0.14626243710517883,0.8537375926971436,-1.0,120,0.52734375,45.51111111111111,0.004119873046875,1572864,34560,fp32,288,0.12972484529018402,0.27452739477157595
14,3,5,0.12972484529018402,5.066426595052083,0.028415968641638756,0.1685703694820404,15.464375769020704,0.14580820500850677,0.854191780090332,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.1318739652633667,0.2763375282287598
