image,pure_em_time,pure_em_psnr,pure_em_ssim,n_init,n_gaussians_final,n_iterations,total_time,oracle_clamp,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim01.png,82.31551933288574,19.65067379364877,0.2820260524749756,16,128,14,122.19801425933838,False,17.568733543808122,0.20714382827281952,0.016915975138545036,0.13006143271923065,17.717029829679475,0.2117454558610916,0.7882545590400696,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.10330522060394287,0.24029508829116825
kodim02.png,72.44299340248108,25.211594072162455,0.6711675524711609,16,128,14,129.47065711021423,False,21.611098425467844,0.5993773341178894,0.009281069040298462,0.09633830189704895,20.32402009371904,0.564554750919342,0.43544524908065796,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.07239065319299698,0.14500157237052919
kodim03.png,63.38088798522949,22.494816290051013,0.6610630750656128,16,128,14,100.87517738342285,False,18.690196699666288,0.5784516930580139,0.011682999320328236,0.1080879271030426,19.324456302675614,0.5731114149093628,0.4268885850906372,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.0774824395775795,0.14736366868019105
kodim04.png,61.455238342285156,22.328980703247858,0.5703350901603699,16,128,14,93.06579542160034,False,18.80845393448911,0.46572065353393555,0.011146697215735912,0.10557792335748672,19.528538458265892,0.4732955992221832,0.5267044305801392,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.07709165662527084,0.1670142114162445
kodim05.png,73.50947976112366,16.318696825403343,0.17007724940776825,16,128,14,114.64011979103088,False,15.360784906623085,0.1395002156496048,0.028415968641638756,0.1685703694820404,15.464375769020704,0.14580820500850677,0.854191780090332,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.1318739652633667,0.2763375282287598
kodim06.png,78.85187888145447,22.164877226612376,0.47632643580436707,16,128,14,127.02884793281555,False,18.167836275290295,0.41623571515083313,0.015310821123421192,0.1237369030714035,18.1500149731268,0.4150850772857666,0.5849149227142334,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.09255217760801315,0.1910247266292572
kodim07.png,76.3015763759613,19.545651770191725,0.4341540038585663,16,128,14,119.1093361377716,False,17.434718197378956,0.36972495913505554,0.01621105894446373,0.12732265889644623,17.901886160519588,0.3647885024547577,0.6352114677429199,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.09905219823122025,0.2062840521335602
kodim08.png,94.95708870887756,15.415373514936322,0.23836414515972137,16,128,14,130.50493788719177,False,14.095776412283476,0.17452235519886017,0.03813818469643593,0.1952899992465973,14.186399673533348,0.1769322156906128,0.8230677843093872,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.15233255922794342,0.2864796042442322
kodim09.png,71.88694500923157,21.232872349766716,0.6161578297615051,16,128,14,114.54345417022705,False,18.541352881270722,0.5687873363494873,0.015968525782227516,0.12636663019657135,17.967351581601093,0.5525739789009094,0.4474260210990906,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.0922437533736229,0.16328020691871642
kodim10.png,68.47504663467407,22.524009455051402,0.5933964848518372,16,128,14,104.4498119354248,False,18.651008821297467,0.5015959739685059,0.00991706270724535,0.09958445280790329,20.036169541609965,0.5145958065986633,0.48540419340133667,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.0706389918923378,0.15359203219413758
