iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,3,5,0.1668069213628769,2.7262369791666665,0.03328533470630646,0.18244269490242004,14.777470752656628,0.45902207493782043,0.540977954864502,-1.0,24,0.10546875,227.55555555555554,0.000823974609375,1572864,6912,fp32,288,0.1521284133195877,0.22989832162857055
2,3,5,0.1521284133195877,8.576456705729166,0.029313689097762108,0.17121240496635437,15.329295400517932,0.4644942283630371,0.5355057716369629,-1.0,32,0.140625,170.66666666666666,0.0010986328125,1572864,9216,fp32,288,0.13369524478912354,0.21405735015869143
3,3,5,0.13369524478912354,8.760579427083334,0.025651460513472557,0.16016073524951935,15.90887878452975,0.47233328223228455,0.5276666879653931,-1.0,40,0.17578125,136.53333333333333,0.001373291015625,1572864,11520,fp32,288,0.12143988162279129,0.20268524289131165
4,3,5,0.12143988162279129,4.807027180989583,0.02402506209909916,0.15500019490718842,16.193354399721123,0.477779746055603,0.522220253944397,-1.0,48,0.2109375,113.77777777777777,0.00164794921875,1572864,13824,fp32,288,0.11413989216089249,0.19575596451759342
5,3,5,0.11413989216089249,5.62286376953125,0.02342739887535572,0.15306010842323303,16.30275905150826,0.4829227924346924,0.5170772075653076,-1.0,56,0.24609375,97.52380952380952,0.001922607421875,1572864,16128,fp32,288,0.10963115841150284,0.1911203682422638
6,3,5,0.10963115841150284,6.154378255208333,0.02281348407268524,0.15104132890701294,16.418083794656543,0.4788082540035248,0.5211917161941528,-1.0,64,0.28125,85.33333333333333,0.002197265625,1572864,18432,fp32,288,0.11015912145376205,0.19236564040184023
7,3,5,0.11015912145376205,10.2630615234375,0.022546419873833656,0.15015465021133423,16.46922362034213,0.46984365582466125,0.5301563739776611,-1.0,72,0.31640625,75.85185185185185,0.002471923828125,1572864,20736,fp32,288,0.10913053900003433,0.19333570599555971
8,4,4,0.10913053900003433,7.122802734375,0.023736262694001198,0.15406577289104462,16.24587615654917,0.46510133147239685,0.5348986387252808,-1.0,80,0.3515625,68.26666666666667,0.00274658203125,1572864,23040,fp32,288,0.11220162361860275,0.19674102663993837
9,3,5,0.11220162361860275,7.029215494791667,0.022517850622534752,0.15005949139595032,16.474730701633447,0.4767362177371979,0.5232638120651245,-1.0,88,0.38671875,62.06060606060606,0.003021240234375,1572864,25344,fp32,288,0.10706526041030884,0.19030497074127198
10,4,4,0.10706526041030884,8.118693033854166,0.024167871102690697,0.1554601937532425,16.16761619953433,0.4743790626525879,0.5256209373474121,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.11179995536804199,0.19456415176391603
11,3,5,0.11179995536804199,13.249715169270834,0.026476820930838585,0.16271699965000153,15.771341915993473,0.4654156267642975,0.5345844030380249,-1.0,104,0.45703125,52.51282051282051,0.003570556640625,1572864,29952,fp32,288,0.12279883772134781,0.20515595078468324
12,3,5,0.12279883772134781,7.696024576822917,0.023902058601379395,0.15460290014743805,16.21564680022464,0.4680403769016266,0.5319596529006958,-1.0,112,0.4921875,48.76190476190476,0.00384521484375,1572864,32256,fp32,288,0.11364170908927917,0.19730529785156253
13,3,5,0.11364170908927917,5.53741455078125,0.02425600402057171,0.15574339032173157,16.151807533824748,0.4687683880329132,0.5312316417694092,-1.0,120,0.52734375,45.51111111111111,0.004119873046875,1572864,34560,fp32,288,0.1154283657670021,0.19858902096748354
14,3,5,0.1154283657670021,5.203755696614583,0.02349257282912731,0.1532728672027588,16.290694283555357,0.4727667272090912,0.5272332429885864,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.11063768714666367,0.19395679831504825
