iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,4,4,0.10304951667785645,5.862935384114583,0.016907842829823494,0.13003015518188477,17.719117814236206,0.3710509240627289,0.6289490461349487,-1.0,24,0.10546875,227.55555555555554,0.000823974609375,1572864,6912,fp32,288,0.1012188121676445,0.20676485896110536
2,4,4,0.1012188121676445,5.689493815104167,0.016935886815190315,0.13013795018196106,17.711920462234268,0.3715982139110565,0.6284017562866211,-1.0,32,0.140625,170.66666666666666,0.0010986328125,1572864,9216,fp32,288,0.10064113140106201,0.20619325637817382
3,4,4,0.10064113140106201,4.822794596354167,0.01705286093056202,0.13058660924434662,17.68202717167155,0.3708573281764984,0.6291426420211792,-1.0,40,0.17578125,136.53333333333333,0.001373291015625,1572864,11520,fp32,288,0.10213202983140945,0.2075341522693634
4,4,4,0.10213202983140945,4.3609619140625,0.01664564199745655,0.12901799380779266,17.786994589404426,0.3705655038356781,0.6294344663619995,-1.0,48,0.2109375,113.77777777777777,0.00164794921875,1572864,13824,fp32,288,0.10036651045084,0.2061801016330719
5,4,4,0.10036651045084,4.831441243489583,0.017029449343681335,0.13049693405628204,17.6879939305315,0.3690017759799957,0.6309982538223267,-1.0,56,0.24609375,97.52380952380952,0.001922607421875,1572864,16128,fp32,288,0.10084094852209091,0.2068724095821381
6,4,4,0.10084094852209091,8.1817626953125,0.017802253365516663,0.13342508673667908,17.49525002622181,0.3689044415950775,0.6310955286026001,-1.0,64,0.28125,85.33333333333333,0.002197265625,1572864,18432,fp32,288,0.1011129841208458,0.20710949301719667
7,3,5,0.1011129841208458,6.55364990234375,0.01700822077691555,0.13041557371616364,17.69341097634718,0.36854633688926697,0.6314536333084106,-1.0,72,0.31640625,75.85185185185185,0.002471923828125,1572864,20736,fp32,288,0.09987042099237442,0.2061870634555817
8,4,4,0.09987042099237442,4.056803385416667,0.01682986132800579,0.1297299563884735,17.739194307623475,0.36943888664245605,0.630561113357544,-1.0,80,0.3515625,68.26666666666667,0.00274658203125,1572864,23040,fp32,288,0.09892654418945312,0.2052534580230713
9,4,4,0.09892654418945312,4.9774169921875,0.017722422257065773,0.13312558829784393,17.51476877958973,0.3685844838619232,0.6314154863357544,-1.0,88,0.38671875,62.06060606060606,0.003021240234375,1572864,25344,fp32,288,0.10114222019910812,0.2071968734264374
10,3,5,0.10114222019910812,10.094197591145834,0.01692376285791397,0.1300913691520691,17.715030811482908,0.36819979548454285,0.6318001747131348,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.10079435259103775,0.20699551701545715
11,4,4,0.10079435259103775,4.39605712890625,0.017606833949685097,0.13269074261188507,17.543187091123343,0.3649113178253174,0.6350886821746826,-1.0,104,0.45703125,52.51282051282051,0.003570556640625,1572864,29952,fp32,288,0.10373246669769287,0.21000370979309083
12,5,3,0.10373246669769287,5.234781901041667,0.01655813306570053,0.12867841124534607,17.80988641514397,0.36658987402915955,0.6334100961685181,-1.0,112,0.4921875,48.76190476190476,0.00384521484375,1572864,32256,fp32,288,0.09939390420913696,0.20619714260101318
13,5,3,0.09939390420913696,5.808003743489583,0.016222359612584114,0.1273670345544815,17.898859847301328,0.3663533627986908,0.6336466073989868,-1.0,120,0.52734375,45.51111111111111,0.004119873046875,1572864,34560,fp32,288,0.09912867099046707,0.20603225827217103
14,4,4,0.09912867099046707,4.947916666666667,0.01621105894446373,0.12732265889644623,17.901886160519588,0.3647885024547577,0.6352114677429199,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.09905219823122025,0.2062840521335602
