iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,17,15,0.05004873126745224,0.003573416033759713,0.05977805703878403,24.46916421839553,0.6481959819793701,0.3518040180206299,0.4537167549133301,96,0.0703125,341.3333333333333,0.0032958984375,9437184,27648,fp32,288,0.03992505371570587,0.10230084657669068
2,16,16,0.03992505371570587,0.0028471120167523623,0.05335833504796028,25.45595551601451,0.7046002745628357,0.2953997254371643,0.34464627504348755,128,0.09375,256.0,0.00439453125,9437184,36864,fp32,288,0.03416365757584572,0.08641087114810944
3,15,17,0.03416365757584572,0.00240240222774446,0.04901430755853653,26.19354333518169,0.7492113709449768,0.2507886290550232,0.26910266280174255,160,0.1171875,204.8,0.0054931640625,9437184,46080,fp32,288,0.02972896583378315,0.07394089847803116
4,15,17,0.02972896583378315,0.0020997824613004923,0.04582338407635689,26.778256258407033,0.7830187678337097,0.21698123216629028,0.22065050899982452,192,0.140625,170.66666666666666,0.006591796875,9437184,55296,fp32,288,0.026796745136380196,0.06483364254236222
5,16,16,0.026796745136380196,0.0018346357392147183,0.042832646518945694,27.36450036794871,0.8086140155792236,0.19138598442077637,0.18787741661071777,224,0.1640625,146.28571428571428,0.0076904296875,9437184,64512,fp32,288,0.02402554824948311,0.05749763548374176
6,17,15,0.02402554824948311,0.001591112115420401,0.03988874703645706,27.982992526726402,0.834739625453949,0.16526037454605103,0.15992331504821777,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.021683691069483757,0.05039902776479721
7,17,15,0.021683691069483757,0.001411553006619215,0.037570640444755554,28.503027408953294,0.85650634765625,0.14349365234375,0.14177069067955017,288,0.2109375,113.77777777777777,0.0098876953125,9437184,82944,fp32,288,0.019660042598843575,0.04442676454782486
8,16,16,0.019660042598843575,0.00125076191034168,0.03536611422896385,29.028254385915105,0.8716726303100586,0.1283273696899414,0.12769973278045654,320,0.234375,102.4,0.010986328125,9437184,92160,fp32,288,0.017906537279486656,0.03999070376157761
9,16,16,0.017906537279486656,0.0010713486699387431,0.03273146227002144,29.700691797716505,0.8895163536071777,0.11048364639282227,0.11268002539873123,352,0.2578125,93.0909090909091,0.0120849609375,9437184,101376,fp32,288,0.01573457568883896,0.03468438982963562
10,15,17,0.01573457568883896,0.0009626979008316994,0.031027372926473618,30.16509984643629,0.9010587334632874,0.09894126653671265,0.1032073050737381,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.014487084001302719,0.031377920508384706
11,15,17,0.014487084001302719,0.0008464950951747596,0.02909458801150322,30.723756557229017,0.9140564799308777,0.08594352006912231,0.09165782481431961,416,0.3046875,78.76923076923077,0.0142822265625,9437184,119808,fp32,288,0.013081617653369904,0.027653998136520388
12,14,18,0.013081617653369904,0.0007816291763447225,0.027957631275057793,31.069992951592358,0.9208805561065674,0.07911944389343262,0.08530893921852112,448,0.328125,73.14285714285714,0.015380859375,9437184,129024,fp32,288,0.012323039583861828,0.025682320445775987
13,14,18,0.012323039583861828,0.000688972941134125,0.026248294860124588,31.617976782614274,0.929835319519043,0.07016468048095703,0.07724656909704208,480,0.3515625,68.26666666666667,0.0164794921875,9437184,138240,fp32,288,0.01114746555685997,0.02295090854167938
14,14,18,0.01114746555685997,0.0006309456657618284,0.02511863224208355,32.000080332451866,0.9364842772483826,0.06351572275161743,0.07162459939718246,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.010357885621488094,0.020989453047513963
