iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,15,17,0.07128860056400299,0.009589605033397675,0.09792652726173401,20.181992410534313,0.6327795386314392,0.3672204613685608,0.48038381338119507,96,0.0703125,341.3333333333333,0.0032958984375,9437184,27648,fp32,288,0.05808308348059654,0.1199105590581894
2,13,19,0.05808308348059654,0.007803641259670258,0.0883382186293602,21.077028250619353,0.6991528868675232,0.3008471131324768,0.3587792217731476,128,0.09375,256.0,0.00439453125,9437184,36864,fp32,288,0.050009433180093765,0.10017696917057037
3,13,19,0.050009433180093765,0.0065175872296094894,0.0807315781712532,21.85913250802805,0.7469543814659119,0.25304561853408813,0.28737199306488037,160,0.1171875,204.8,0.0054931640625,9437184,46080,fp32,288,0.04346409812569618,0.08538040220737458
4,13,19,0.04346409812569618,0.005664186552166939,0.07526078820228577,22.46862494660123,0.7765912413597107,0.2234087586402893,0.2496129423379898,192,0.140625,170.66666666666666,0.006591796875,9437184,55296,fp32,288,0.03942875191569328,0.07622475326061248
5,12,20,0.03942875191569328,0.004845215938985348,0.06960758566856384,23.146867429389346,0.8039841651916504,0.1960158348083496,0.2149777114391327,224,0.1640625,146.28571428571428,0.0076904296875,9437184,64512,fp32,288,0.03533736616373062,0.06747305989265442
6,10,22,0.03533736616373062,0.00429473165422678,0.06553420424461365,23.670639188819077,0.8249353766441345,0.17506462335586548,0.19193996489048004,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.03220156580209732,0.06077417731285095
7,10,22,0.03220156580209732,0.003512251190841198,0.059264250099658966,24.54414407603234,0.852550208568573,0.147449791431427,0.1557711809873581,288,0.2109375,113.77777777777777,0.0098876953125,9437184,82944,fp32,288,0.027498692274093628,0.05148891210556031
8,9,23,0.027498692274093628,0.0031959032639861107,0.05653231963515282,24.954064329140913,0.8645458817481995,0.13545411825180054,0.14359772205352783,320,0.234375,102.4,0.010986328125,9437184,92160,fp32,288,0.025628410279750824,0.04759355187416077
9,8,24,0.025628410279750824,0.00288290623575449,0.05369270220398903,25.40169549857442,0.8764377236366272,0.1235622763633728,0.13281016051769257,352,0.2578125,93.0909090909091,0.0120849609375,9437184,101376,fp32,288,0.023676451295614243,0.043653616309165956
10,7,25,0.023676451295614243,0.0025298120453953743,0.05029723793268204,25.969116978222825,0.8875481486320496,0.11245185136795044,0.12349200993776321,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.021751098334789276,0.039891248941421514
11,7,25,0.021751098334789276,0.0023312487173825502,0.04828300699591637,26.324114094574,0.8950220942497253,0.10497790575027466,0.11781401932239532,416,0.3046875,78.76923076923077,0.0142822265625,9437184,119808,fp32,288,0.020420704036951065,0.03733214437961578
12,7,25,0.020420704036951065,0.0021578161977231503,0.046452298760414124,26.65985524622469,0.9022356867790222,0.09776431322097778,0.11159685254096985,448,0.328125,73.14285714285714,0.015380859375,9437184,129024,fp32,288,0.01927276886999607,0.03497107774019242
13,6,26,0.01927276886999607,0.0020556836389005184,0.04533964768052101,26.870436383020962,0.9065642356872559,0.09343576431274414,0.10748861730098724,480,0.3515625,68.26666666666667,0.0164794921875,9437184,138240,fp32,288,0.018531909212470055,0.03351268023252488
14,6,26,0.018531909212470055,0.0019267923198640347,0.04389524087309837,27.15165100862022,0.9125788807868958,0.08742111921310425,0.1014631986618042,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.017573103308677673,0.03154270648956299
