tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,64,64,7,24.29179779095086,24.07179916752543,64,64
1,0,64,64,128,64,64,7,22.851811237681574,23.413167208744184,64,64
2,0,128,64,192,64,64,7,23.43018608658458,24.911115630480435,64,64
3,0,192,64,256,64,64,7,22.465103907226634,22.890045790821596,64,64
4,64,0,128,64,64,64,7,17.713024719929713,17.726696511535142,64,64
5,64,64,128,128,64,64,7,20.797352430967543,21.999125804374525,64,64
6,64,128,128,192,64,64,7,15.188874037962847,15.617249860159628,64,64
7,64,192,128,256,64,64,7,22.96247972741558,22.466924512803594,64,64
8,128,0,192,64,64,64,7,22.579633599368407,22.700171294073627,64,64
9,128,64,192,128,64,64,7,22.71756449278997,21.803153954708034,64,64
10,128,128,192,192,64,64,7,26.556424130501707,25.83775930448654,64,64
11,128,192,192,256,64,64,7,22.181004680650787,21.81628081121331,64,64
12,192,0,256,64,64,64,7,25.19142025611511,24.841032591311546,64,64
13,192,64,256,128,64,64,7,23.77108024855915,23.474294420186386,64,64
14,192,128,256,192,64,64,7,21.496872990666777,22.28140049037861,64,64
15,192,192,256,256,64,64,7,22.219971297584745,22.556284686482165,64,64
