image,H,W,n_tiles,tile_h,tile_w,n_total_used,tile_time,gd_time,total_time,composite_mse,composite_rmse,composite_psnr,composite_ssim,composite_dssim,composite_lpips,composite_n_gaussians,composite_bits_per_pixel,composite_compression_ratio,composite_storage_mb,composite_original_bits,composite_compressed_bits,composite_quantization,composite_bits_per_gaussian,composite_l1,composite_loss
kodim01.png,256,256,16,64,64,1024,17.8518488407135,0.0,17.9222252368927,0.008261105045676231,0.09089062362909317,20.829618481161745,0.3651566207408905,0.6348433494567871,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.06992194801568985,0.18290622830390932
kodim02.png,256,256,16,64,64,1024,21.296913146972656,0.0,21.341856479644775,0.002120662247762084,0.046050649136304855,26.735284963305798,0.6960412859916687,0.3039587140083313,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.029294734820723534,0.08422753065824509
kodim03.png,256,256,16,64,64,1024,18.443869590759277,0.0,18.486595392227173,0.0025587661657482386,0.05058424919843674,25.919694194225848,0.7324792742729187,0.2675207257270813,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.032317209988832474,0.07935791313648224
kodim04.png,256,256,16,64,64,1024,18.579715728759766,0.0,18.630417585372925,0.0038049768190830946,0.061684492975473404,24.196479938645528,0.643798291683197,0.356201708316803,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.04210100695490837,0.10492114722728729
kodim05.png,256,256,16,64,64,1024,46.679925203323364,0.0,46.72396206855774,0.017693916335701942,0.13301847875118256,17.52176008937631,0.26886239647865295,0.7311376333236694,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.10170979052782059,0.22759535908699038
kodim06.png,256,256,16,64,64,1024,20.14065980911255,0.0,20.187409162521362,0.004826069809496403,0.06946992129087448,23.16406375090772,0.506450355052948,0.493549644947052,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.04786422848701477,0.13700131177902222
kodim07.png,256,256,16,64,64,1024,19.135864973068237,0.0,19.18910503387451,0.007657106965780258,0.08750489354133606,21.15935259614779,0.5208781361579895,0.4791218638420105,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.06271649152040482,0.14599756598472596
kodim08.png,256,256,16,64,64,1024,21.357683420181274,0.0,21.400675296783447,0.02108546532690525,0.14520835876464844,16.76016775629044,0.32981157302856445,0.6701884269714355,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.10908975452184677,0.22130948901176456
kodim09.png,256,256,16,64,64,1024,19.74241876602173,0.0,19.804860591888428,0.006206303834915161,0.07878009974956512,22.07166955538058,0.6771553158760071,0.3228446841239929,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.046050284057855606,0.10140916407108308
kodim10.png,256,256,16,64,64,1024,20.264448165893555,0.0,20.315531730651855,0.0044644377194345,0.06681644916534424,23.502332892708793,0.6551313400268555,0.34486865997314453,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.04681428149342537,0.10642515718936921
kodim11.png,256,256,16,64,64,1024,19.016420602798462,0.0,19.05839228630066,0.0056844293139874935,0.07539515197277069,22.453131469846713,0.5550647377967834,0.44493526220321655,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.051044777035713196,0.12982287406921386
kodim12.png,256,256,16,64,64,1024,19.641198873519897,0.0,19.68654489517212,0.004324816633015871,0.06576333940029144,23.640323392518674,0.6919258236885071,0.3080741763114929,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.043053966015577316,0.09605800807476045
kodim13.png,256,256,16,64,64,1024,18.894084215164185,0.0,18.944647312164307,0.010875687934458256,0.1042865663766861,19.63543273193175,0.3195952773094177,0.6804047226905823,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.07576394826173782,0.1966921031475067
kodim14.png,256,256,16,64,64,1024,19.953670978546143,0.0,20.00497341156006,0.008956906385719776,0.09464093297719955,20.478419506968336,0.40418103337287903,0.5958189964294434,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.06742258369922638,0.1731018662452698
