tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,64,64,7,30.001372608936347,27.89151029666117,64,64
1,0,64,64,128,64,64,7,23.65433632358163,23.862274270444928,64,64
2,0,128,64,192,64,64,7,25.237225360650164,26.047538661655572,64,64
3,0,192,64,256,64,64,7,19.262372251145415,19.676177548915852,64,64
4,64,0,128,64,64,64,7,28.203402904396377,27.478850288603354,64,64
5,64,64,128,128,64,64,7,18.50049292031142,19.392414891428487,64,64
6,64,128,128,192,64,64,7,17.423285602413184,18.401896275741404,64,64
7,64,192,128,256,64,64,7,17.84147572897984,18.307182265136007,64,64
8,128,0,192,64,64,64,7,26.48251615581124,26.35910329444983,64,64
9,128,64,192,128,64,64,7,19.856763267809136,19.728458631786474,64,64
10,128,128,192,192,64,64,7,19.314214639480383,19.916643630942474,64,64
11,128,192,192,256,64,64,7,17.480944207980052,18.62416873304835,64,64
12,192,0,256,64,64,64,7,22.220561949880533,23.259425228652265,64,64
13,192,64,256,128,64,64,7,25.665233106258864,27.15433884100414,64,64
14,192,128,256,192,64,64,7,23.99920365561849,24.892947352744063,64,64
15,192,192,256,256,64,64,7,17.44215903164961,18.461670255545787,64,64
