tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,64,64,7,22.779287642919627,23.50681083177421,64,64
1,0,64,64,128,64,64,7,21.797331137034107,22.59604601848864,64,64
2,0,128,64,192,64,64,7,21.995699441957797,22.18443934017388,64,64
3,0,192,64,256,64,64,7,22.82322614692045,22.634178152073034,64,64
4,64,0,128,64,64,64,7,17.844678544141445,18.001749750146182,64,64
5,64,64,128,128,64,64,7,17.308866659588112,17.62195958717031,64,64
6,64,128,128,192,64,64,7,20.0788946114163,20.4445049760656,64,64
7,64,192,128,256,64,64,7,24.37873566924725,24.53244713449336,64,64
8,128,0,192,64,64,64,7,19.25204713823145,19.853821337143124,64,64
9,128,64,192,128,64,64,7,17.320147442435673,17.830760323486274,64,64
10,128,128,192,192,64,64,7,15.345870252635375,15.596678952277859,64,64
11,128,192,192,256,64,64,7,21.549867240780788,22.01195258323649,64,64
12,192,0,256,64,64,64,7,28.370747226122642,28.319725941026128,64,64
13,192,64,256,128,64,64,7,24.900751068787837,25.71247430070162,64,64
14,192,128,256,192,64,64,7,22.521007439336515,22.368751559750674,64,64
15,192,192,256,256,64,64,7,22.801471474941437,22.564803962258665,64,64
