tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,64,64,7,27.909635588669197,30.29580413634747,64,64
1,0,64,64,128,64,64,7,24.92248863956709,30.18806289524813,64,64
2,0,128,64,192,64,64,7,28.22460170046243,32.22795335828274,64,64
3,0,192,64,256,64,64,7,22.448895921099776,27.934184690878414,64,64
4,64,0,128,64,64,64,7,19.726620226041685,20.387147204442076,64,64
5,64,64,128,128,64,64,7,19.588043050115456,20.453032923849612,64,64
6,64,128,128,192,64,64,7,17.030117045468145,18.38994103216057,64,64
7,64,192,128,256,64,64,7,28.52818385056309,29.629596917767792,64,64
8,128,0,192,64,64,64,7,21.478764178070428,23.93313160158362,64,64
9,128,64,192,128,64,64,7,18.8233630974006,20.782430680451803,64,64
10,128,128,192,192,64,64,7,23.470039324607413,25.8474439878012,64,64
11,128,192,192,256,64,64,7,26.020507916117424,26.493113618182058,64,64
12,192,0,256,64,64,64,7,25.397290078608385,25.594769995688505,64,64
13,192,64,256,128,64,64,7,22.96214905523136,23.378637266976146,64,64
14,192,128,256,192,64,64,7,26.511025193654206,27.886586720774332,64,64
15,192,192,256,256,64,64,7,27.46817821907176,27.2473070923423,64,64
