folder,n_components,psnr,rmse,ssim,lpips,fit_time,render_time,total_time
em_10,10,21.433048557253837,0.0847905725240707,0.5945911407470703,0.7915293574333191,11.704878091812134,0.0341289043426513,11.739902973175049
em_50,50,22.47807255223755,0.0751789659261703,0.6053722500801086,0.6929439306259155,20.572776079177856,0.1414482593536377,20.71427011489868
em_100,100,24.32721959408568,0.0607629716396331,0.6571393013000488,0.5522084832191467,40.87828993797302,0.2722110748291015,41.15060305595398
em_250,250,25.45177716327709,0.0533840097486972,0.6861288547515869,0.4706346690654754,93.04558610916138,0.5578598976135254,93.60350704193117
em_500,500,27.32355031975235,0.0430350713431835,0.7181153297424316,0.3981757164001465,121.59488582611084,1.045046091079712,122.6399998664856
em_1000,1000,28.08806499079404,0.0394091233611106,0.7435186505317688,0.3514005839824676,280.3928179740906,2.098635196685791,282.4915840625763
em_2500,2500,29.172081316337835,0.0347853153944015,0.777015209197998,0.3075486123561859,1129.6949937343595,5.247034072875977,1134.9469039440155
em_5000,5000,30.143057842967703,0.0311062093824148,0.8074962496757507,0.2516476809978485,5506.723286151886,10.628237009048462,5517.400395154953
