,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,7.788797546672371,0.416730422526598,0.06867743919913967,-1.0,0.140625,170.66666666666666,210.00314138333002
std,1.799675102752274,0.09311881010836451,0.01725182706491028,0.0,0.0,0.0,10.308689712838339
min,2.797909369737833,0.26878902316093445,0.04032503440976143,-1.0,0.140625,170.66666666666666,179.48386192321777
25%,7.212814859988747,0.3619787245988846,0.054137568920850754,-1.0,0.140625,170.66666666666666,204.52771067619324
50%,7.762687699695348,0.4091443419456482,0.06885258853435516,-1.0,0.140625,170.66666666666666,211.2678745985031
75%,8.829015042305233,0.43616027384996414,0.0818723738193512,-1.0,0.140625,170.66666666666666,215.8815939426422
max,11.411769056131059,0.7246103882789612,0.10027497261762619,-1.0,0.140625,170.66666666666666,230.63040804862976
