,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,11.405850148668955,0.27767812212308246,0.25174927276869613,-1.0,0.5625,42.666666666666664,677.6723978718122
std,2.122671750081583,0.0813915554068926,0.05209967273893253,0.0,0.0,0.0,42.837998811444876
min,4.697195272191265,0.17246809601783752,0.13160763680934906,-1.0,0.5625,42.666666666666664,604.8996798992157
25%,10.76351270313246,0.2328389510512352,0.21312664076685905,-1.0,0.5625,42.666666666666664,647.564835369587
50%,11.916064985830014,0.2536439597606659,0.2547987699508667,-1.0,0.5625,42.666666666666664,670.1024959087372
75%,12.659059011842244,0.2897253483533859,0.28398898243904114,-1.0,0.5625,42.666666666666664,710.9517779350281
max,15.265824715933324,0.5822911858558655,0.3348608911037445,-1.0,0.5625,42.666666666666664,759.1772549152374
