image,method,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,total_time
kodim01.png,2D-GS,0.09215939790010452,0.3035776615142822,10.354603547959705,0.22729243338108063,0.7727075666189194,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,669.8044097423553
kodim02.png,2D-GS,0.05237463489174843,0.22885505855083466,12.80878954319486,0.2922482192516327,0.7077517807483673,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,648.339195728302
kodim03.png,2D-GS,0.05149626359343529,0.22692787647247314,12.882242571404863,0.27000892162323,0.72999107837677,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,642.9192187786102
kodim04.png,2D-GS,0.0775374248623848,0.2784554362297058,11.104885781530701,0.24342131614685059,0.7565786838531494,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,659.4856770038605
kodim05.png,2D-GS,0.04272724688053131,0.206705704331398,13.69295030508339,0.32378971576690674,0.6762102842330933,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,641.7773308753967
kodim06.png,2D-GS,0.1394655853509903,0.37345090508461,8.555329616142124,0.21363592147827148,0.7863640785217285,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,621.9853162765503
kodim07.png,2D-GS,0.07787375897169113,0.27905869483947754,11.08608929596972,0.2605750858783722,0.7394249141216278,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,665.1348023414612
kodim08.png,2D-GS,0.11942252516746521,0.34557563066482544,9.229137046401018,0.27306485176086426,0.7269351482391357,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,673.3634798526764
kodim09.png,2D-GS,0.059403806924819946,0.24372896552085876,12.261857219196939,0.17090348899364471,0.8290965110063553,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,656.6091320514679
kodim10.png,2D-GS,0.06579863280057907,0.25651243329048157,11.817831689106416,0.19554011523723602,0.804459884762764,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,696.1746411323547
kodim11.png,2D-GS,0.060556892305612564,0.2460830956697464,12.178364270345725,0.30231180787086487,0.6976881921291351,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,645.5615301132202
kodim12.png,2D-GS,0.12410327792167664,0.35228294134140015,9.062167722968228,0.13160763680934906,0.8683923631906509,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,648.2326037883759
kodim13.png,2D-GS,0.05460771545767784,0.23368293046951294,12.627459724325318,0.28113988041877747,0.7188601195812225,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,604.8996798992157
kodim14.png,2D-GS,0.06642256677150726,0.2577257454395294,11.776844161052555,0.25620654225349426,0.7437934577465057,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,672.0236051082611
kodim15.png,2D-GS,0.06288834661245346,0.2507754862308502,12.01429828255361,0.31106701493263245,0.6889329850673676,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,670.400582075119
kodim16.png,2D-GS,0.05581828951835632,0.23625893890857697,12.532234805767075,0.22929377853870392,0.7707062214612961,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,708.3354959487915
kodim17.png,2D-GS,0.05174442008137703,0.22747400403022766,12.86136496453896,0.33040651679039,0.66959348320961,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,718.8006238937378
kodim18.png,2D-GS,0.02974524535238743,0.17246809601783752,15.265824715933324,0.3348608911037445,0.6651391088962555,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,672.2404820919037
kodim19.png,2D-GS,0.08128651231527328,0.28510791063308716,10.89981575485671,0.1983700841665268,0.8016299158334732,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,742.6994640827179
kodim20.png,2D-GS,0.33906304836273193,0.5822911858558655,4.697195272191265,0.2008833885192871,0.7991166114807129,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,759.1772549152374
kodim21.png,2D-GS,0.05304132029414177,0.23030701279640198,12.75385687439302,0.21159879863262177,0.7884012013673782,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,631.3848450183868
kodim22.png,2D-GS,0.06679241359233856,0.2584422826766968,11.752728122214311,0.25339099764823914,0.7466090023517609,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,754.9809670448303
kodim23.png,2D-GS,0.05876260995864868,0.24241000413894653,12.308989089294695,0.2812359035015106,0.7187640964984894,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,727.8561611175537
kodim24.png,2D-GS,0.11979692429304123,0.34611693024635315,9.215543191630386,0.24912923574447632,0.7508707642555237,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,731.9510500431061
