epoch,loss,l1,dssim,mse,rmse,psnr,ssim,active_gaussians
1,0.46981021761894226,0.4630941152572632,0.49667462706565857,0.23714464902877808,0.4869749983610843,6.249866702111917,0.5033253729343414,128
2,0.4696536362171173,0.4629940688610077,0.49629175662994385,0.23704683780670166,0.48687456064853263,6.251658335904585,0.5037082433700562,128
3,0.4695081114768982,0.4628869593143463,0.4959926903247833,0.23694992065429688,0.4867750205734646,6.2534343221031685,0.5040073096752167,128
4,0.4693845510482788,0.46278512477874756,0.49578210711479187,0.23687005043029785,0.48669297347537066,6.254898473045801,0.5042178928852081,128
5,0.46926814317703247,0.46268120408058167,0.4956158697605133,0.23679375648498535,0.48661458720941086,6.25629752609738,0.5043841302394867,128
6,0.4691580533981323,0.4625805914402008,0.4954679012298584,0.23672203719615936,0.4865408895418343,6.257613101713815,0.5045320987701416,128
7,0.469046950340271,0.46247565746307373,0.4953320026397705,0.2366476058959961,0.4864643932457915,6.258978846377261,0.5046679973602295,128
8,0.4689484238624573,0.46237075328826904,0.4952589273452759,0.23659132421016693,0.48640654211283685,6.260011847854432,0.5047410726547241,128
9,0.46885010600090027,0.46226635575294495,0.49518513679504395,0.23652459681034088,0.4863379450653022,6.2612368897703155,0.504814863204956,128
10,0.46875011920928955,0.4621586799621582,0.49511587619781494,0.236447274684906,0.4862584443327499,6.262656871579559,0.5048841238021851,128
11,0.4686456322669983,0.4620482921600342,0.4950348138809204,0.2363615185022354,0.48617025670256236,6.264232283790678,0.5049651861190796,128
12,0.4685283899307251,0.4619373083114624,0.4948927164077759,0.23627488315105438,0.4860811487303888,6.265824427570951,0.5051072835922241,126
13,0.4684046804904938,0.4618273079395294,0.49471402168273926,0.23619352281093597,0.485997451444898,6.267320161323627,0.5052859783172607,126
14,0.46829378604888916,0.46171835064888,0.49459540843963623,0.23611265420913696,0.48591424573594977,6.268807365580428,0.5054045915603638,126
15,0.46818608045578003,0.4616086483001709,0.4944957494735718,0.23603999614715576,0.48583947569866714,6.270144009379679,0.5055042505264282,126
16,0.46808332204818726,0.4614955484867096,0.4944343566894531,0.23597709834575653,0.4857747403331677,6.271301432216282,0.5055656433105469,126
17,0.46797481179237366,0.4613839387893677,0.4943383038043976,0.23589342832565308,0.4856886125138751,6.272841576232201,0.5056616961956024,126
18,0.46784913539886475,0.461261510848999,0.4941994845867157,0.23579041659832,0.4855825538446784,6.274738500450649,0.5058005154132843,126
19,0.4677332937717438,0.461139053106308,0.49411025643348694,0.2356816977262497,0.4854705940901567,6.276741418782452,0.5058897435665131,126
20,0.4676262438297272,0.4610188901424408,0.4940556287765503,0.23557913303375244,0.4853649482953548,6.278631806345629,0.5059443712234497,126
21,0.46751856803894043,0.4608971178531647,0.4940042495727539,0.23548652231693268,0.4852695357396059,6.280339437684241,0.5059957504272461,128
22,0.4673005938529968,0.46064436435699463,0.493925541639328,0.23528558015823364,0.48506244975078583,6.284046882348382,0.506074458360672,128
23,0.4671778380870819,0.46051517128944397,0.49382853507995605,0.23516982793807983,0.48494311825004777,6.2861839839996225,0.506171464920044,128
24,0.46705862879753113,0.4603884220123291,0.49373936653137207,0.2350727766752243,0.48484304334003214,6.287976625843935,0.5062606334686279,128
25,0.4669371247291565,0.4602590799331665,0.49364927411079407,0.23498636484146118,0.48475392194541467,6.289573368877594,0.5063507258892059,128
26,0.4668080806732178,0.46012791991233826,0.49352869391441345,0.23489618301391602,0.4846608948676549,6.291240401233394,0.5064713060855865,128
